num_stroke,start_point_x,start_point_y,end_point_y,num_brush,num_physical_stroke,end_point_x,theta_deg,g,theta_rad,b,r,Unnamed: 0,Unnamed: 0.1
257.0,36.86843752710321,413.0884690237902,444.6658306159236,3.0,775.0,75.44525819610143,129.3023121356964,53.0,2.256751077209324,140.0,206.0,774.0,774.0
257.0,28.96646479500121,422.7419983133796,454.3193599055129,3.0,776.0,67.54328546399944,129.3023121356964,53.0,2.256751077209324,140.0,206.0,775.0,775.0
259.0,238.0563070671504,135.01230397544032,123.87889760569033,3.0,779.0,244.91435020362488,31.632564961910248,50.0,0.5520924094363285,117.0,153.0,778.0,778.0
259.0,248.41254967166373,141.39162366923338,130.25821729948336,3.0,780.0,255.27059280813825,31.632564961910248,50.0,0.5520924094363285,117.0,153.0,779.0,779.0
259.0,258.7687922761771,147.77094336302642,136.6375369932764,3.0,781.0,265.6268354126516,31.632564961910248,50.0,0.5520924094363285,117.0,153.0,780.0,780.0
259.0,269.12503488069046,154.15026305681943,143.01685668706943,3.0,782.0,275.98307801716487,31.632564961910248,50.0,0.5520924094363285,117.0,153.0,781.0,781.0
259.0,276.0291966170327,158.40314285268147,147.26973648293145,3.0,783.0,282.8872397535071,31.632564961910248,50.0,0.5520924094363285,117.0,153.0,782.0,782.0
261.0,351.19332857430845,389.9093070633704,400.6681939842953,3.0,787.0,367.5934417323985,123.265882730484,84.0,2.151395509024164,200.0,235.0,786.0,786.0
264.0,396.442619839997,191.3691136406944,172.71488839513728,3.0,794.0,402.5037451367898,18.000000268220898,109.0,0.3141592700403172,175.0,255.0,793.0,793.0
264.0,407.9245541297686,195.0998203017187,176.4455950561615,3.0,795.0,413.9856794265614,18.000000268220898,109.0,0.3141592700403172,175.0,255.0,794.0,794.0
264.0,414.6223491321354,197.2760658539828,178.62184060842563,3.0,796.0,420.68347442892815,18.000000268220898,109.0,0.3141592700403172,175.0,255.0,795.0,795.0
265.0,156.31768506421577,467.5362432560044,429.4505333796585,3.0,797.0,168.69248254516754,18.000000268220898,45.0,0.3141592700403172,172.0,205.0,796.0,796.0
265.0,168.18235049697975,471.39130680572936,433.3055969293836,3.0,798.0,180.55714797793152,18.000000268220898,45.0,0.3141592700403172,172.0,205.0,797.0,797.0
266.0,232.84549206735335,85.45244740122922,72.93790957943989,3.0,799.0,243.359824000795,40.03594994544983,59.0,0.6987591457117437,114.0,191.0,798.0,798.0
266.0,242.24422781815147,93.34897772826498,80.83443990647565,3.0,800.0,252.75855975159303,40.03594994544983,59.0,0.6987591457117437,114.0,191.0,799.0,799.0
266.0,243.02745579738465,94.00702192218463,81.4924841003953,3.0,801.0,253.54178773082623,40.03594994544983,59.0,0.6987591457117437,114.0,191.0,800.0,800.0
269.0,286.90214425420726,306.6335095683021,311.14814998146585,3.0,808.0,346.39097941043264,94.3398892879486,33.0,1.6465416840416318,97.0,159.0,807.0,807.0
269.0,286.43012487370976,312.85324814041235,317.3678885535761,3.0,809.0,345.91896002993514,94.3398892879486,33.0,1.6465416840416318,97.0,159.0,808.0,808.0
270.0,533.9973086136754,222.1334807800596,250.87610837895417,3.0,810.0,561.8813231774183,135.8686923980713,54.0,2.3713560327257337,122.0,198.0,809.0,809.0
270.0,530.3103435017084,225.71030716882203,254.45293476771664,3.0,811.0,558.1943580654513,135.8686923980713,54.0,2.3713560327257337,122.0,198.0,810.0,810.0
272.0,91.99124963974842,324.000069064827,313.1238304116786,3.0,814.0,113.964604112469,63.66578757762909,63.0,1.1111776141049323,144.0,181.0,813.0,813.0
272.0,96.02323671612189,332.1459257423041,321.2696870891557,3.0,815.0,117.99659118884244,63.66578757762909,63.0,1.1111776141049323,144.0,181.0,814.0,814.0
273.0,52.95642569081549,478.364469558302,487.3203700827247,3.0,816.0,70.40661781503144,117.16809511184692,62.0,2.0449690379916023,115.0,175.0,815.0,815.0
273.0,47.40260113239378,489.1858610313717,498.1417615557944,3.0,817.0,64.85279325660973,117.16809511184692,62.0,2.0449690379916023,115.0,175.0,816.0,816.0
277.0,320.3544831870355,475.51516930621045,476.0579268200625,3.0,828.0,340.7787448796098,91.52222871780396,95.0,1.5973642298889872,195.0,202.0,827.0,827.0
277.0,320.1887820984328,481.75059177387016,482.2933492877223,3.0,829.0,340.6130437910072,91.52222871780396,95.0,1.5973642298889872,195.0,202.0,828.0,828.0
280.0,381.324543117106,128.4543174239927,153.72381870998086,3.0,836.0,408.0448401085616,133.40155363082886,124.0,2.32829633813376,184.0,255.0,835.0,835.0
