start_point_y,num_stroke,end_point_x,theta_rad,r,b,num_physical_stroke,start_point_x,num_brush,end_point_y,g,theta_deg,Unnamed: 0,Unnamed: 0.1
284.58928406091235,112.0,286.1896989791438,1.614113682222336,148.0,113.0,409.0,224.95277995943655,2.0,287.24356581389753,40.0,92.4819016456604,408.0,408.0
288.7875308379954,112.0,286.00772820084006,1.614113682222336,148.0,113.0,410.0,224.7708091811328,2.0,291.4418125909805,40.0,92.4819016456604,409.0,409.0
15.230395126398818,128.0,381.77803657970566,2.8260860242951265,139.0,123.0,455.0,377.2133462817612,2.0,29.214926478307447,37.0,161.92280173301697,454.0,454.0
36.725261162323314,131.0,448.7282835338949,2.6361075970110743,174.0,163.0,461.0,442.0006556666322,2.0,48.88114924380801,60.0,151.03783965110782,460.0,460.0
44.07381047558761,131.0,435.4504767384279,2.6361075970110743,174.0,163.0,462.0,428.7228488711653,2.0,56.22969855707232,60.0,151.03783965110782,461.0,461.0
51.42235978885192,131.0,422.17266994296097,2.6361075970110743,174.0,163.0,463.0,415.4450420756984,2.0,63.57824787033662,60.0,151.03783965110782,462.0,462.0
58.77090910211621,131.0,408.894863147494,2.6361075970110743,174.0,163.0,464.0,402.1672352802314,2.0,70.9267971836009,60.0,151.03783965110782,463.0,463.0
66.11945841538049,131.0,395.61705635202696,2.6361075970110743,174.0,163.0,465.0,388.8894284847645,2.0,78.27534649686521,60.0,151.03783965110782,464.0,464.0
69.54878142823719,131.0,389.42074651414254,2.6361075970110743,174.0,163.0,466.0,382.6931186468799,2.0,81.70466950972191,60.0,151.03783965110782,465.0,465.0
334.06466330954714,134.0,56.24283353134693,2.047787577886531,165.0,128.0,474.0,25.02325636097261,2.0,350.198709342126,56.0,117.32958555221558,473.0,473.0
347.6353946555633,134.0,49.229580179531546,2.047787577886531,165.0,128.0,475.0,18.01000300915723,2.0,363.7694406881421,56.0,117.32958555221558,474.0,474.0
361.2061260015795,134.0,42.21632682771617,2.047787577886531,165.0,128.0,476.0,10.996749657341857,2.0,377.3401720341584,56.0,117.32958555221558,475.0,475.0
364.82498769385046,134.0,40.34612593389874,2.047787577886531,165.0,128.0,477.0,9.126548763524418,2.0,380.95903372642937,56.0,117.32958555221558,476.0,476.0
198.12568590216827,135.0,28.14857313268423,2.8274333133294083,169.0,144.0,478.0,22.84508735182728,2.0,214.44813261961968,53.0,161.9999957084656,477.0,477.0
423.3870144971598,136.0,219.22196778402903,0.6556924759263673,165.0,138.0,479.0,205.2698619294532,2.0,405.2491586507292,29.0,37.56841152906418,478.0,478.0
432.60229286405394,136.0,231.2019077547852,0.6556924759263673,165.0,138.0,480.0,217.2498019002093,2.0,414.46443701762337,29.0,37.56841152906418,479.0,479.0
438.1314598841904,136.0,238.38987173723893,0.6556924759263673,165.0,138.0,481.0,224.437765882663,2.0,419.9936040377598,29.0,37.56841152906418,480.0,480.0
285.51554087449483,139.0,219.7988215896721,0.6940954096884185,134.0,98.0,492.0,207.25179763119647,2.0,270.4394157370186,52.0,39.76873755455017,491.0,491.0
295.15839869234503,139.0,231.3853883823972,0.6940954096884185,134.0,98.0,493.0,218.8383644239217,2.0,280.0822735548687,52.0,39.76873755455017,492.0,492.0
299.01554181948507,139.0,236.0200150994873,0.6940954096884185,134.0,98.0,494.0,223.47299114101173,2.0,283.9394166820088,52.0,39.76873755455017,493.0,493.0
43.79860493368007,140.0,458.02212281376814,0.7886182684534634,218.0,191.0,495.0,435.9917306091668,2.0,21.909638167773966,102.0,45.1844984292984,494.0,494.0
54.62023911694515,140.0,468.77428686016265,0.7886182684534634,218.0,191.0,496.0,446.7438946555612,2.0,32.731272351039074,102.0,45.1844984292984,495.0,495.0
65.44187330021026,140.0,479.5264509065571,0.7886182684534634,218.0,191.0,497.0,457.49605870195575,2.0,43.55290653430417,102.0,45.1844984292984,496.0,496.0
66.1633155790946,140.0,480.2432618429833,0.7886182684534634,218.0,191.0,498.0,458.212869638382,2.0,44.2743488131885,102.0,45.1844984292984,497.0,497.0
129.63497407134085,149.0,514.4819466864068,1.9416438596603305,233.0,167.0,525.0,463.4479088424436,2.0,149.47897363182574,121.0,111.24799847602844,524.0,524.0
143.64044908978184,149.0,509.03607855894097,1.9416438596603305,233.0,167.0,526.0,458.00204071497774,2.0,163.48444865026673,121.0,111.24799847602844,525.0,525.0
146.44154409347004,149.0,507.9469049334478,1.9416438596603305,233.0,167.0,527.0,456.91286708948456,2.0,166.2855436539549,121.0,111.24799847602844,526.0,526.0
208.5311111569267,151.0,588.2113948304558,1.7934946841267982,171.0,127.0,534.0,529.2277187105389,2.0,221.88822588189845,58.0,102.75967597961426,533.0,533.0
212.6295268985024,151.0,587.2832904318834,1.7934946841267982,171.0,127.0,535.0,528.2996143119666,2.0,225.98664162347413,58.0,102.75967597961426,534.0,534.0
164.04421765321925,155.0,296.19848402276614,0.3141592700403172,152.0,107.0,544.0,280.2880301186853,2.0,115.0768763836317,36.0,18.000000268220898,543.0,543.0
168.68925324182237,155.0,310.4944333556867,0.3141592700403172,152.0,107.0,545.0,294.5839794516058,2.0,119.7219119722348,36.0,18.000000268220898,544.0,544.0
173.33428883042546,155.0,324.7903826886072,0.3141592700403172,152.0,107.0,546.0,308.8799287845263,2.0,124.3669475608379,36.0,18.000000268220898,545.0,545.0
177.97932441902856,155.0,339.08633202152765,0.3141592700403172,152.0,107.0,547.0,323.1758781174468,2.0,129.011983149441,36.0,18.000000268220898,546.0,546.0
