num_physical_stroke,end_point_x,b,g,start_point_x,num_brush,num_stroke,start_point_y,theta_rad,theta_deg,r,end_point_y,Unnamed: 0,Unnamed: 0.1
1033.0,481.4607519212087,181.0,131.0,475.5146629788007,4.0,350.0,208.8466268517536,2.7486278591544955,157.48477578163147,231.0,223.19097375152032,1032.0,1032.0
1038.0,79.7937529754397,117.0,39.0,75.24790900284519,4.0,352.0,291.4805931481838,0.3141592700403172,18.000000268220898,179.0,277.489924214016,1037.0,1037.0
1039.0,88.78592046132398,117.0,39.0,84.24007648872946,4.0,352.0,294.40232552271215,0.3141592700403172,18.000000268220898,179.0,280.4116565885444,1038.0,1038.0
1040.0,87.06615891530912,140.0,76.0,70.39558706743095,4.0,353.0,407.6818857880552,2.361444704221976,135.30081510543823,222.0,424.52843129258247,1039.0,1039.0
1041.0,85.58823821330729,140.0,76.0,68.91766636542914,4.0,353.0,409.1443686004257,2.361444704221976,135.30081510543823,222.0,425.99091410495294,1040.0,1040.0
1061.0,434.033805374236,113.0,49.0,412.5693300641011,4.0,360.0,158.16664218046412,2.0751930659493976,118.899804353714,211.0,170.01557351137643,1060.0,1060.0
1062.0,429.6072280395217,113.0,49.0,408.1427527293869,4.0,360.0,166.1854379060749,2.0751930659493976,118.899804353714,211.0,178.0343692369872,1061.0,1061.0
1079.0,545.2860257783465,176.0,138.0,530.064733127601,4.0,366.0,130.19204782813014,2.30106911541636,131.84154868125916,253.0,143.82132886001014,1078.0,1078.0
1080.0,543.8990425515118,176.0,138.0,528.6777499007666,4.0,366.0,131.7410420522525,2.30106911541636,131.84154868125916,253.0,145.37032308413254,1079.0,1079.0
1103.0,382.4361211518348,179.0,126.0,376.8800896297748,4.0,376.0,175.0195580247446,0.3141592700403172,18.000000268220898,241.0,157.91985154965053,1102.0,1102.0
1104.0,392.0191201552211,179.0,126.0,386.4630886331611,4.0,376.0,178.13326319952247,0.3141592700403172,18.000000268220898,241.0,161.0335567244284,1103.0,1103.0
1105.0,397.7689195572529,179.0,126.0,392.21288803519286,4.0,376.0,180.0014863043892,0.3141592700403172,18.000000268220898,241.0,162.90177982929515,1104.0,1104.0
1106.0,222.0117304850781,160.0,58.0,200.33614339976288,4.0,377.0,410.4582920665071,1.7591838482227624,100.79380989074708,218.0,414.59070449345705,1105.0,1105.0
1107.0,220.10374860545173,160.0,58.0,198.4281615201365,4.0,377.0,420.4661574768744,1.7591838482227624,100.79380989074708,218.0,424.5985699038243,1106.0,1106.0
1108.0,218.19576672582545,160.0,58.0,196.52017964051015,4.0,377.0,430.4740228872416,1.7591838482227624,100.79380989074708,218.0,434.6064353141915,1107.0,1107.0
1121.0,602.9106146359112,139.0,57.0,571.2970929356933,4.0,382.0,130.33837231799168,2.231702361875501,127.86712646484376,231.0,154.91970985665318,1120.0,1120.0
1122.0,597.1068760449185,139.0,57.0,565.4933543447005,4.0,382.0,137.80243384841765,2.231702361875501,127.86712646484376,231.0,162.38377138707915,1121.0,1121.0
1149.0,332.5233360413266,130.0,53.0,299.87931204846456,4.0,392.0,155.8503678024917,1.6240431743169663,93.05081963539124,178.0,157.59020375791613,1148.0,1148.0
1150.0,331.9823366848329,130.0,53.0,299.3383126919708,4.0,392.0,166.0009776450131,1.6240431743169663,93.05081963539124,178.0,167.7408136004376,1149.0,1149.0
1151.0,331.60363713528733,130.0,53.0,298.9596131424252,4.0,392.0,173.10640453477814,1.6240431743169663,93.05081963539124,178.0,174.8462404902026,1150.0,1150.0
1152.0,171.48387028129704,157.0,55.0,163.68515940338526,4.0,393.0,412.7949476417722,2.3916337157726257,137.03051805496216,199.0,421.166977070981,1151.0,1151.0
1153.0,165.39830433496857,157.0,55.0,157.59959345705678,4.0,393.0,418.46377259576747,2.3916337157726257,137.03051805496216,199.0,426.8358020249762,1152.0,1152.0
1173.0,137.83640529705156,134.0,66.0,125.2960255361394,4.0,400.0,355.4387372480724,1.0206898813162242,58.48122239112855,174.0,347.74832827970346,1172.0,1172.0
1174.0,140.07244573751942,134.0,66.0,127.53206597660729,4.0,400.0,359.0849407724308,1.0206898813162242,58.48122239112855,174.0,351.3945318040619,1173.0,1173.0
1183.0,475.5731967690338,158.0,115.0,463.7349486018744,4.0,404.0,96.01968369236178,2.550670185125646,146.14263653755188,242.0,113.66520572864736,1182.0,1182.0
1184.0,467.07817419620886,158.0,115.0,455.2399260290492,4.0,404.0,101.71893051520578,2.550670185125646,146.14263653755188,242.0,119.3644525514914,1183.0,1183.0
