,Unnamed: 0,num_physical_stroke,num_stroke,num_brush,start_point_x,start_point_y,end_point_x,end_point_y,theta_deg,theta_rad,r,g,b
0,0,1.0,1.0,1.0,208.46716773623788,220.38720592717624,571.0317916800352,184.46224187475121,84.34127926826476,1.4720330185752541,43.0,0.0,12.0
1,1,2.0,1.0,1.0,210.4411363855205,240.3090407816133,573.0057603293178,204.3840767291883,84.34127926826476,1.4720330185752541,43.0,0.0,12.0
2,2,3.0,1.0,1.0,212.41510503480316,260.2308756360504,574.9797289786005,224.30591158362546,84.34127926826476,1.4720330185752541,43.0,0.0,12.0
3,3,4.0,1.0,1.0,214.38907368408573,280.15271049048755,576.9536976278831,244.22774643806247,84.34127926826476,1.4720330185752541,43.0,0.0,12.0
4,4,5.0,1.0,1.0,216.3630423333684,300.0745453449247,578.9276662771657,264.1495812924996,84.34127926826476,1.4720330185752541,43.0,0.0,12.0
5,5,6.0,1.0,1.0,218.33701098265098,319.99638019936174,580.9016349264483,284.07141614693666,84.34127926826476,1.4720330185752541,43.0,0.0,12.0
6,6,7.0,1.0,1.0,220.31097963193363,339.91821505379886,582.875603575731,303.99325100137384,84.34127926826476,1.4720330185752541,43.0,0.0,12.0
7,7,8.0,1.0,1.0,222.28494828121623,359.840049908236,584.8495722250136,323.9150858558109,84.34127926826476,1.4720330185752541,43.0,0.0,12.0
8,8,9.0,1.0,1.0,224.25891693049888,379.7618847626731,586.8235408742962,343.8369207102481,84.34127926826476,1.4720330185752541,43.0,0.0,12.0
9,9,10.0,1.0,1.0,226.23288557978148,399.6837196171102,588.7975095235789,363.7587555646852,84.34127926826476,1.4720330185752541,43.0,0.0,12.0
10,10,11.0,1.0,1.0,228.20685422906413,419.6055544715473,590.7714781728615,383.6805904191223,84.34127926826476,1.4720330185752541,43.0,0.0,12.0
11,11,12.0,1.0,1.0,230.18082287834682,439.5273893259845,592.7454468221442,403.6024252735594,84.34127926826476,1.4720330185752541,43.0,0.0,12.0
12,12,13.0,1.0,1.0,232.15479152762938,459.4492241804216,594.7194154714268,423.5242601279965,84.34127926826476,1.4720330185752541,43.0,0.0,12.0
13,13,14.0,1.0,1.0,234.12876017691204,479.3710590348586,596.6933841207094,443.44609498243364,84.34127926826476,1.4720330185752541,43.0,0.0,12.0
14,14,15.0,1.0,1.0,236.1027288261946,499.2928938892958,598.667352769992,463.3679298368708,84.34127926826476,1.4720330185752541,43.0,0.0,12.0
15,15,16.0,1.0,1.0,238.0766974754773,519.2147287437328,600.6413214192747,483.2897646913078,84.34127926826476,1.4720330185752541,43.0,0.0,12.0
16,16,17.0,1.0,1.0,240.0506661247599,539.13656359817,602.6152900685573,503.211599545745,84.34127926826476,1.4720330185752541,43.0,0.0,12.0
17,17,18.0,1.0,1.0,241.62984104418598,555.0740314817197,604.1944649879835,519.1490674292946,84.34127926826476,1.4720330185752541,43.0,0.0,12.0
