x,y,z,C,M,Y,K
-0.17,0.5,-0.005,0.0,0.0196850393700787,0.1377952755905512,0.0039215686274509
-0.17,0.45,-0.005,0.0,0.0196850393700787,0.1377952755905512,0.0039215686274509
-0.17,0.4,-0.005,0.0443349753694581,0.0,0.1379310344827585,0.203921568627451
-0.17,0.4,-0.005,0.0099502487562188,0.0,0.144278606965174,0.2117647058823529
-0.17,0.4,-0.005,0.0,0.0663507109004738,0.1800947867298577,0.1725490196078432
-0.17,0.5,-0.01,0.0,0.0196850393700787,0.1377952755905512,0.0039215686274509
-0.17,0.45,-0.01,0.0,0.0196850393700787,0.1377952755905512,0.0039215686274509
-0.17,0.4,-0.01,0.0,0.0196850393700787,0.1377952755905512,0.0039215686274509
-0.17,0.35,-0.01,0.0126582278481013,0.0,0.1434599156118144,0.0705882352941176
-0.17,0.3,-0.01,0.1956521739130435,0.0304347826086956,0.0,0.0980392156862745
-0.17,0.25,-0.01,0.183168316831683,0.0495049504950494,0.0,0.207843137254902
-0.17,0.1999999999999999,-0.01,0.0,0.0663507109004738,0.1800947867298577,0.1725490196078432
-0.17,0.1499999999999999,-0.01,0.0,0.0263157894736842,0.0219298245614035,0.1058823529411764
-0.17,0.0999999999999999,-0.01,0.0,0.0,0.203921568627451,0.0
-0.17,0.0499999999999999,-0.01,0.0814814814814814,0.0,0.0296296296296297,0.4705882352941176
-0.12,0.5,-0.01,0.3909774436090226,0.1052631578947368,0.0,0.4784313725490196
-0.12,0.45,-0.01,0.7432432432432432,0.3040540540540541,0.0,0.4196078431372548
-0.12,0.4,-0.01,0.7432432432432432,0.3040540540540541,0.0,0.4196078431372548
-0.12,0.35,-0.01,0.7037037037037037,0.1358024691358023,0.0,0.6823529411764706
-0.12,0.3,-0.01,0.7037037037037037,0.1358024691358023,0.0,0.6823529411764706
-0.12,0.25,-0.01,0.2424242424242426,0.0,0.2954545454545454,0.4823529411764705
-0.12,0.1999999999999999,-0.01,0.4035087719298246,0.614035087719298,0.0,0.7764705882352941
-0.12,0.1499999999999999,-0.01,0.4406779661016951,0.0,0.1016949152542373,0.7686274509803921
-0.12,0.0999999999999999,-0.01,0.3362831858407077,0.3008849557522123,0.0,0.5568627450980392
-0.12,0.0499999999999999,-0.01,0.0,0.1022727272727272,0.1590909090909088,0.6549019607843137
-0.07,0.5,-0.01,0.2967032967032968,0.0,0.8791208791208792,0.6431372549019607
-0.07,0.45,-0.01,0.3140096618357487,0.3043478260869565,0.0,0.188235294117647
-0.07,0.4,-0.01,0.0,0.1567164179104478,0.8656716417910448,0.4745098039215686
-0.07,0.35,-0.01,0.4422110552763819,0.5577889447236181,0.0,0.2196078431372549
-0.07,0.3,-0.002,0.0869565217391304,0.0241545893719807,0.0,0.188235294117647
-0.07,0.25,-0.002,0.0,0.0483870967741934,0.1653225806451612,0.0274509803921568
-0.07,0.1999999999999999,-0.002,0.018018018018018,0.0,0.1081081081081081,0.1294117647058823
-0.07,0.1499999999999999,-0.002,0.1650943396226415,0.0,0.0424528301886793,0.1686274509803921
-0.07,0.0999999999999999,-0.002,0.1052631578947368,0.0,0.1008771929824561,0.1058823529411764
-0.07,0.0499999999999999,-0.002,0.03,0.0,0.195,0.2156862745098039
-0.01999999999999999,0.5,-0.0020000000000000018,0.04291845493562229,0.0,0.10300429184549356,0.0862745098039216
