num_brush,end_point_y,b,r,end_point_x,theta_rad,num_physical_stroke,start_point_y,num_stroke,start_point_x,theta_deg,g,Unnamed: 0,Unnamed: 0.1
1.0,200.2099386133257,169.0,255.0,514.3692456403984,0.8182764162915087,259.0,251.0407564364796,51.0,460.0810525176483,46.88378512859345,91.0,258.0,258.0
1.0,503.1370372573695,134.0,247.0,597.3532529418503,2.6888582227206568,260.0,436.9939124170716,52.0,565.179118880817,154.06022787094116,74.0,259.0,259.0
1.0,511.97737573712686,134.0,247.0,579.1794114769061,2.6888582227206568,261.0,445.8342508968289,52.0,547.0052774158727,154.06022787094116,74.0,260.0,260.0
1.0,516.3975449770056,134.0,247.0,570.092490744434,2.6888582227206568,262.0,450.2544201367076,52.0,537.9183566834007,154.06022787094116,74.0,261.0,261.0
1.0,248.7645840515694,169.0,226.0,80.37215526081206,1.007207815551212,265.0,275.3970998511416,54.0,38.22942207662091,57.70875692367554,66.0,264.0,264.0
1.0,265.75515127183183,169.0,226.0,91.10951175735455,1.007207815551212,266.0,292.387667071404,54.0,48.9667785731634,57.70875692367554,66.0,265.0,265.0
1.0,277.64854832601543,169.0,226.0,98.62566130493433,1.007207815551212,267.0,304.2810641255876,54.0,56.48292812074316,57.70875692367554,66.0,266.0,266.0
1.0,347.4292993315333,203.0,238.0,53.71419733395207,1.3585392254117867,276.0,359.30898659575064,58.0,-1.4111367157542012,77.83856391906737,105.0,275.0,275.0
1.0,367.0941833019218,203.0,238.0,57.95204324785961,1.3585392254117867,277.0,378.9738705661392,58.0,2.826709198153324,77.83856391906737,105.0,276.0,276.0
1.0,386.7590672723104,203.0,238.0,62.18988916176714,1.3585392254117867,278.0,398.6387545365277,58.0,7.064555112060847,77.83856391906737,105.0,277.0,277.0
1.0,406.4239512426989,203.0,238.0,66.42773507567466,1.3585392254117867,279.0,418.3036385069162,58.0,11.302401025968376,77.83856391906737,105.0,278.0,278.0
1.0,426.08883521308746,203.0,238.0,70.66558098958218,1.3585392254117867,280.0,437.9685224773047,58.0,15.5402469398759,77.83856391906737,105.0,279.0,279.0
1.0,445.7537191834761,203.0,238.0,74.9034269034897,1.3585392254117867,281.0,457.6334064476932,58.0,19.778092853783427,77.83856391906737,105.0,280.0,280.0
1.0,465.4186031538645,203.0,238.0,79.14127281739724,1.3585392254117867,282.0,477.29829041808176,58.0,24.01593876769095,77.83856391906737,105.0,281.0,281.0
1.0,485.0834871242532,203.0,238.0,83.37911873130477,1.3585392254117867,283.0,496.9631743884703,58.0,28.253784681598468,77.83856391906737,105.0,282.0,282.0
1.0,483.6043529241924,148.0,198.0,345.731286789811,2.6652438693051943,289.0,451.6481390199107,60.0,329.24255778670766,152.7072250843048,54.0,288.0,288.0
1.0,492.86590232539095,148.0,198.0,327.78181029019294,2.6652438693051943,290.0,460.90968842110914,60.0,311.2930812870896,152.7072250843048,54.0,289.0,289.0
1.0,493.7920572655108,148.0,198.0,325.98686264023115,2.6652438693051943,291.0,461.835843361229,60.0,309.4981336371277,152.7072250843048,54.0,290.0,290.0
1.0,14.520841786966749,187.0,224.0,334.8380172606261,0.3141592700403172,308.0,34.72958580298701,67.0,328.2717981891006,18.000000268220898,110.0,307.0,307.0
1.0,435.8895628996105,146.0,203.0,178.24436156859872,1.6315694548110449,314.0,431.8193443960154,70.0,111.3528511777052,93.48204374313354,36.0,313.0,313.0
1.0,442.9919383751097,146.0,203.0,177.81219581376786,1.6315694548110449,315.0,438.9217198715146,70.0,110.92068542287431,93.48204374313354,36.0,314.0,314.0
1.0,101.70588306342356,178.0,216.0,554.3853787094716,2.2132451574931387,335.0,58.615180754088,79.0,496.8049780559143,126.80960655212404,120.0,334.0,334.0
1.0,117.84045598376336,178.0,216.0,542.3109563242972,2.2132451574931387,336.0,74.74975367442778,79.0,484.7305556707398,126.80960655212404,120.0,335.0,335.0
1.0,127.52119973596724,178.0,216.0,535.0663028931925,2.2132451574931387,337.0,84.43049742663166,79.0,477.4859022396352,126.80960655212404,120.0,336.0,336.0
1.0,465.0640392851501,177.0,217.0,339.9900883034224,1.1481355593116962,350.0,475.12094574014617,84.0,317.62986677993285,65.78332185745239,91.0,349.0,349.0
1.0,470.7089974914791,177.0,217.0,342.5290084372761,1.1481355593116962,351.0,480.7659039464752,84.0,320.16878691378656,65.78332185745239,91.0,350.0,350.0
1.0,346.9416949043794,160.0,203.0,103.4691259236068,1.404302767121275,381.0,354.2554858595307,98.0,59.94740613104434,80.46062171459198,78.0,380.0,380.0
1.0,353.9588126962236,160.0,203.0,104.64834707759232,1.404302767121275,382.0,361.2726036513748,98.0,61.12662728502986,80.46062171459198,78.0,381.0,381.0
1.0,14.884644621834893,171.0,196.0,166.09507275301584,0.3141592700403172,389.0,31.20709171169741,102.0,160.79158811832227,18.000000268220898,53.0,388.0,388.0
1.0,16.75286772670163,171.0,196.0,171.8448721550476,0.3141592700403172,390.0,33.07531481656415,102.0,166.541387520354,18.000000268220898,53.0,389.0,389.0
1.0,12.615250690258163,159.0,227.0,532.1060524833042,1.2373717832386084,393.0,17.697241693970227,104.0,517.4333012371994,70.89618086814879,105.0,392.0,392.0
1.0,18.46401118730375,159.0,227.0,534.1318040094021,1.2373717832386084,394.0,23.546002191015813,104.0,519.4590527632977,70.89618086814879,105.0,393.0,393.0
1.0,251.10884899786572,147.0,177.0,52.10805009105721,2.1307159799359146,264.0,218.120212755193,53.0,-0.5190348169882402,122.0810329914093,82.0,263.0,263.0
