start_point_x,num_stroke,num_brush,num_physical_stroke,end_point_x,theta_deg,start_point_y,r,g,end_point_y,b,theta_rad,Unnamed: 0,Unnamed: 0.1
424.24070526373833,95.0,2.0,377.0,445.2415249718524,45.54461181163788,48.99510368193955,137.0,128.0,28.38977354185334,156.0,0.7949034326557805,376.0,376.0
427.09175429664737,95.0,2.0,378.0,448.0925740047613,45.54461181163788,51.90087448551596,137.0,128.0,31.295544345429768,156.0,0.7949034326557805,377.0,377.0
477.3376068280766,98.0,2.0,391.0,593.3294516293314,88.17420959472656,220.55768010864816,185.0,183.0,216.86022611032905,176.0,1.5389302727715537,390.0,390.0
477.8234030492306,98.0,2.0,392.0,593.8152478504852,88.17420959472656,235.7974640017636,185.0,183.0,232.1000100034444,176.0,1.5389302727715537,391.0,391.0
478.3091992703845,98.0,2.0,393.0,594.3010440716392,88.17420959472656,251.03724789487887,185.0,183.0,247.33979389655968,176.0,1.5389302727715537,392.0,392.0
478.6006770030768,98.0,2.0,394.0,594.5925218043318,88.17420959472656,260.1811182307481,185.0,183.0,256.4836642324289,176.0,1.5389302727715537,393.0,393.0
311.53889853595336,100.0,2.0,399.0,380.7296628925048,84.88864302635194,193.40340692036943,160.0,159.0,187.21447147031583,157.0,1.481586318359965,398.0,398.0
312.8833840356644,100.0,2.0,400.0,382.0741483922158,84.88864302635194,208.4344215661114,160.0,159.0,202.24548611605772,157.0,1.481586318359965,399.0,399.0
312.9730164023118,100.0,2.0,401.0,382.1637807588632,84.88864302635194,209.43648920916087,160.0,159.0,203.24755375910723,157.0,1.481586318359965,400.0,400.0
65.19955876373143,101.0,2.0,402.0,186.8567252415746,82.93165504932405,243.01847267607585,174.0,175.0,227.9335233826904,177.0,1.4474304347388849,401.0,401.0
67.05814956748303,101.0,2.0,403.0,188.7153160453262,82.93165504932405,258.0076440964494,174.0,175.0,242.92269480306388,177.0,1.4474304347388849,402.0,402.0
68.91674037123464,101.0,2.0,404.0,190.57390684907784,82.93165504932405,272.9968155168229,174.0,175.0,257.9118662234374,177.0,1.4474304347388849,403.0,403.0
70.77533117498625,101.0,2.0,405.0,192.43249765282945,82.93165504932405,287.9859869371965,174.0,175.0,272.9010376438109,177.0,1.4474304347388849,404.0,404.0
72.01439171082066,101.0,2.0,406.0,193.67155818866385,82.93165504932405,297.9787678841122,174.0,175.0,282.8938185907266,177.0,1.4474304347388849,405.0,405.0
558.7544719040204,104.0,2.0,422.0,575.9243858241197,135.5485224723816,42.94009556134488,111.0,108.0,60.44195060589517,118.0,2.3657680133565835,421.0,421.0
547.9769407991937,104.0,2.0,423.0,565.1468547192927,135.5485224723816,53.5132194313594,111.0,108.0,71.01507447590969,118.0,2.3657680133565835,422.0,422.0
537.9179117680219,104.0,2.0,424.0,555.0878256881211,135.5485224723816,63.38146837670629,111.0,108.0,80.88332342125658,118.0,2.3657680133565835,423.0,423.0
6.5830114620271685,106.0,2.0,428.0,35.67311748777324,27.15135544538498,77.64659851968334,134.0,135.0,20.92497266310602,153.0,0.4738805489012593,427.0,427.0
9.358143161854745,106.0,2.0,429.0,38.448249187600815,27.15135544538498,79.06984537067312,134.0,135.0,22.348219514095785,153.0,0.4738805489012593,428.0,428.0
346.9748392107762,109.0,2.0,441.0,358.85461182019867,18.01579311490059,259.58226091985506,104.0,99.0,223.0543429332469,96.0,0.3144349072131404,440.0,440.0
353.76944784845324,109.0,2.0,442.0,365.6492204578756,18.01579311490059,261.7920338835157,104.0,99.0,225.2641158969075,96.0,0.3144349072131404,441.0,441.0
514.4252260993728,116.0,2.0,469.0,530.178140972134,24.77326065301895,214.79318409401245,90.0,80.0,180.6589250709965,112.0,0.4323749648499412,468.0,468.0
522.7082334853354,116.0,2.0,470.0,538.4611483580966,24.77326065301895,218.615780921251,90.0,80.0,184.4815218982351,112.0,0.4323749648499412,469.0,469.0
221.63351617502067,118.0,2.0,479.0,240.2590840952845,32.005912363529205,261.8367766862642,164.0,165.0,232.03648038361015,163.0,0.5586085508483449,478.0,478.0
234.543394020146,118.0,2.0,480.0,253.16896194040984,32.005912363529205,269.9056161435845,164.0,165.0,240.1053198409305,163.0,0.5586085508483449,479.0,479.0
247.45327186527143,118.0,2.0,481.0,266.0788397855352,32.005912363529205,277.97445560090483,164.0,165.0,248.17415929825088,163.0,0.5586085508483449,480.0,480.0
259.50249118738844,118.0,2.0,482.0,278.12805910765223,32.005912363529205,285.5053724277372,164.0,165.0,255.7050761250832,163.0,0.5586085508483449,481.0,481.0
295.64662444071047,121.0,2.0,491.0,340.0729196607539,51.98298633098602,363.9113025246892,135.0,140.0,329.18042697268413,133.0,0.9072742664949128,490.0,490.0
299.3785849508775,121.0,2.0,492.0,343.8048801709208,51.98298633098602,368.6850715915232,135.0,140.0,333.95419603951814,133.0,0.9072742664949128,491.0,491.0
560.3891606561082,125.0,2.0,500.0,603.6697924209868,114.06633496284483,294.43979636514456,135.0,138.0,313.7696478575512,179.0,1.9908331107843664,499.0,499.0
555.4148808830389,125.0,2.0,501.0,598.6955126479174,114.06633496284483,305.57749037372344,135.0,138.0,324.90734186613014,179.0,1.9908331107843664,500.0,500.0
14.074464793310831,128.0,2.0,510.0,33.091655856869025,50.86394727230072,276.03096069319827,177.0,173.0,260.5562290937104,195.0,0.8877433504624364,509.0,509.0
19.2781036001206,128.0,2.0,511.0,38.2952946636788,50.86394727230072,282.4258110838908,177.0,173.0,266.9510794844029,195.0,0.8877433504624364,510.0,510.0
