num_stroke,num_brush,theta_rad,start_point_x,num_physical_stroke,g,start_point_y,theta_deg,b,end_point_y,r,end_point_x,Unnamed: 0,Unnamed: 0.1
606.0,5.0,2.098760605986324,487.3515736240204,1813.0,98.0,42.86652841099974,120.25012493133544,113.0,65.51086975955019,100.0,526.1802724651282,1812.0,1812.0
606.0,5.0,2.098760605986324,485.1804855766932,1814.0,98.0,46.589335917281936,120.25012493133544,113.0,69.23367726583237,100.0,524.0091844178008,1813.0,1813.0
610.0,5.0,2.4443884610595195,426.6818626825605,1824.0,121.0,79.26783258855122,140.05314230918884,142.0,133.15058210157642,125.0,471.8097594342363,1823.0,1823.0
610.0,5.0,2.4443884610595195,421.19211086355097,1825.0,121.0,83.86561120080822,140.05314230918884,142.0,137.74836071383342,125.0,466.3200076152268,1824.0,1824.0
610.0,5.0,2.4443884610595195,415.7023590445414,1826.0,121.0,88.4633898130652,140.05314230918884,142.0,142.34613932609042,125.0,460.8302557962172,1825.0,1825.0
610.0,5.0,2.4443884610595195,412.5653580051073,1827.0,121.0,91.09069187721208,140.05314230918884,142.0,144.97344139023727,125.0,457.6932547567831,1826.0,1826.0
611.0,5.0,1.2583427724216265,574.8642982887163,1828.0,208.0,277.33061164777143,72.09773004055023,205.0,269.7939895344622,205.0,598.194969113732,1827.0,1827.0
611.0,5.0,1.2583427724216265,577.1012767420639,1829.0,208.0,284.2554922047445,72.09773004055023,205.0,276.71887009143524,205.0,600.4319475670796,1828.0,1828.0
611.0,5.0,1.2583427724216265,577.4208450925421,1830.0,208.0,285.24476085574065,72.09773004055023,205.0,277.7081387424314,205.0,600.7515159175579,1829.0,1829.0
613.0,5.0,0.3141592700403172,571.5112465340018,1834.0,165.0,128.5415866124698,18.000000268220898,203.0,105.22380505552336,158.0,579.0876531549926,1833.0,1833.0
613.0,5.0,0.3141592700403172,578.1806266484796,1835.0,165.0,130.70859960784554,18.000000268220898,203.0,107.39081805089909,158.0,585.7570332694705,1834.0,1834.0
613.0,5.0,0.3141592700403172,584.8500067629576,1836.0,165.0,132.87561260322127,18.000000268220898,203.0,109.55783104627486,158.0,592.4264133839483,1835.0,1835.0
613.0,5.0,0.3141592700403172,591.5193868774355,1837.0,165.0,135.042625598597,18.000000268220898,203.0,111.72484404165056,158.0,599.0957934984264,1836.0,1836.0
613.0,5.0,0.3141592700403172,596.2832298163484,1838.0,165.0,136.59049202386538,18.000000268220898,203.0,113.27271046691897,158.0,603.8596364373393,1837.0,1837.0
618.0,5.0,0.7812559752243988,89.64243855437913,1855.0,150.0,262.39675393528506,44.76267009973526,163.0,236.2842412318321,152.0,115.53951651437607,1854.0,1854.0
618.0,5.0,0.7812559752243988,94.76455534745531,1856.0,150.0,267.47661198712865,44.76267009973526,163.0,241.36409928367576,152.0,120.66163330745228,1855.0,1855.0
618.0,5.0,0.7812559752243988,99.8866721405315,1857.0,150.0,272.55647003897224,44.76267009973526,163.0,246.44395733551937,152.0,125.7837501005285,1856.0,1856.0
618.0,5.0,0.7812559752243988,101.3501340814104,1858.0,150.0,274.0078580537847,44.76267009973526,163.0,247.8953453503318,152.0,127.24721204140738,1857.0,1857.0
619.0,5.0,2.4182808271032004,204.3456526618533,1859.0,176.0,327.8387884279307,138.55728507041928,179.0,344.9924799719281,171.0,219.4914091268365,1858.0,1858.0
619.0,5.0,2.4182808271032004,199.0463740522185,1860.0,176.0,332.51775697856374,138.55728507041928,179.0,349.6714485225612,171.0,214.1921305172017,1859.0,1859.0
619.0,5.0,2.4182808271032004,193.7470954425838,1861.0,176.0,337.1967255291967,138.55728507041928,179.0,354.35041707319414,171.0,208.8928519075669,1860.0,1860.0
620.0,5.0,1.5587829839680902,404.5296861024429,1862.0,151.0,220.6602753183534,89.31168615818024,165.0,220.0417554941179,167.0,456.0132804570833,1861.0,1861.0
620.0,5.0,1.5587829839680902,404.55632891497993,1863.0,151.0,222.8779370639864,89.31168615818024,165.0,222.2594172397509,167.0,456.03992326962026,1862.0,1862.0
622.0,5.0,2.240755507523927,402.4977791707333,1867.0,214.0,328.1302049910344,128.3858335018158,212.0,347.9219314507668,215.0,427.4814106290264,1866.0,1866.0
622.0,5.0,2.240755507523927,401.20668671317947,1868.0,214.0,329.75998591003287,128.3858335018158,212.0,349.5517123697653,215.0,426.1903181714723,1867.0,1867.0
623.0,5.0,2.4303251603865976,293.9150714541084,1869.0,122.0,312.7389412454644,139.2473745346069,112.0,337.5030319295498,125.0,315.2551544949198,1868.0,1868.0
623.0,5.0,2.4303251603865976,288.34428722355005,1870.0,122.0,317.5394808493253,139.2473745346069,112.0,342.3035715334108,125.0,309.68437026436163,1869.0,1869.0
623.0,5.0,2.4303251603865976,284.36515563029417,1871.0,122.0,320.9684377092259,139.2473745346069,112.0,345.73252839331144,125.0,305.7052386711057,1870.0,1870.0
626.0,5.0,2.8062152431344742,209.86665085454223,1887.0,157.0,222.1702937387501,160.78428983688352,174.0,237.60481881428,150.0,215.2462668810281,1886.0,1886.0
626.0,5.0,2.8062152431344742,206.01131149508967,1888.0,157.0,223.51405036904225,160.78428983688352,174.0,238.94857544457216,150.0,211.39092752157555,1887.0,1887.0
629.0,5.0,0.3267427530043201,186.41262878826112,1897.0,110.0,152.0805225995173,18.72098073363304,130.0,121.89374208243277,109.0,196.64261212715448,1896.0,1896.0
629.0,5.0,0.3267427530043201,193.39099147613533,1898.0,110.0,154.4454165301339,18.72098073363304,130.0,124.25863601304935,109.0,203.62097481502872,1897.0,1897.0
