end_point_y,num_brush,start_point_x,r,start_point_y,end_point_x,g,theta_rad,b,theta_deg,num_physical_stroke,num_stroke,Unnamed: 0,Unnamed: 0.1
31.753266018725864,1.0,223.8606641236155,104.0,240.50337105557276,519.5007947173899,95.0,0.9559912642562722,123.0,54.774264693260186,2.0,1.0,1.0,1.0
48.15505046275954,1.0,235.4418869386884,104.0,256.9051554996064,531.0820175324628,95.0,0.9559912642562722,123.0,54.774264693260186,3.0,1.0,2.0,2.0
64.55683490679324,1.0,247.02310975376133,104.0,273.3069399436401,542.6632403475357,95.0,0.9559912642562722,123.0,54.774264693260186,4.0,1.0,3.0,3.0
80.95861935082694,1.0,258.6043325688342,104.0,289.7087243876738,554.2444631626087,95.0,0.9559912642562722,123.0,54.774264693260186,5.0,1.0,4.0,4.0
97.36040379486064,1.0,270.1855553839071,104.0,306.1105088317075,565.8256859776817,95.0,0.9559912642562722,123.0,54.774264693260186,6.0,1.0,5.0,5.0
113.76218823889432,1.0,281.7667781989801,104.0,322.5122932757412,577.4069087927545,95.0,0.9559912642562722,123.0,54.774264693260186,7.0,1.0,6.0,6.0
130.16397268292803,1.0,293.3480010140529,104.0,338.91407771977487,588.9881316078274,95.0,0.9559912642562722,123.0,54.774264693260186,8.0,1.0,7.0,7.0
146.5657571269617,1.0,304.9292238291258,104.0,355.3158621638086,600.5693544229002,95.0,0.9559912642562722,123.0,54.774264693260186,9.0,1.0,8.0,8.0
162.9675415709954,1.0,316.51044664419874,104.0,371.7176466078422,612.1505772379733,95.0,0.9559912642562722,123.0,54.774264693260186,10.0,1.0,9.0,9.0
171.9885230152139,1.0,322.88011919248885,104.0,380.7386280520608,618.5202497862633,95.0,0.9559912642562722,123.0,54.774264693260186,11.0,1.0,10.0,10.0
2.8336236526269607,1.0,-65.63797388341916,119.0,162.53668057565648,45.0559479630676,115.0,0.6060958547823062,149.0,34.726734459400184,12.0,2.0,11.0,11.0
14.2615854900699,1.0,-49.150343764301816,119.0,173.96464241309943,61.54357808218497,115.0,0.6060958547823062,149.0,34.726734459400184,13.0,2.0,12.0,12.0
25.689547327512827,1.0,-32.66271364518445,119.0,185.3926042505424,78.0312082013023,115.0,0.6060958547823062,149.0,34.726734459400184,14.0,2.0,13.0,13.0
37.11750916495577,1.0,-16.17508352606709,119.0,196.8205660879853,94.51883832041968,115.0,0.6060958547823062,149.0,34.726734459400184,15.0,2.0,14.0,14.0
48.5454710023987,1.0,0.3125465930502713,119.0,208.24852792542825,111.00646843953704,115.0,0.6060958547823062,149.0,34.726734459400184,16.0,2.0,15.0,15.0
59.97343283984164,1.0,16.800176712167627,119.0,219.6764897628712,127.4940985586544,115.0,0.6060958547823062,149.0,34.726734459400184,17.0,2.0,16.0,16.0
71.40139467728457,1.0,33.287806831285,119.0,231.1044516003141,143.98172867777177,115.0,0.6060958547823062,149.0,34.726734459400184,18.0,2.0,17.0,17.0
82.82935651472752,1.0,49.77543695040236,119.0,242.53241343775704,160.46935879688914,115.0,0.6060958547823062,149.0,34.726734459400184,19.0,2.0,18.0,18.0
94.25731835217044,1.0,66.26306706951972,119.0,253.9603752752,176.95698891600648,115.0,0.6060958547823062,149.0,34.726734459400184,20.0,2.0,19.0,19.0
105.68528018961338,1.0,82.75069718863706,119.0,265.3883371126429,193.44461903512385,115.0,0.6060958547823062,149.0,34.726734459400184,21.0,2.0,20.0,20.0
117.11324202705627,1.0,99.23832730775445,119.0,276.81629895008587,209.9322491542412,115.0,0.6060958547823062,149.0,34.726734459400184,22.0,2.0,21.0,21.0
128.5412038644993,1.0,115.7259574268718,119.0,288.2442607875288,226.41987927335865,115.0,0.6060958547823062,149.0,34.726734459400184,23.0,2.0,22.0,22.0
139.9691657019422,1.0,132.21358754598918,119.0,299.6722226249717,242.907509392476,115.0,0.6060958547823062,149.0,34.726734459400184,24.0,2.0,23.0,23.0
151.39712753938508,1.0,148.70121766510653,119.0,311.10018446241463,259.3951395115933,115.0,0.6060958547823062,149.0,34.726734459400184,25.0,2.0,24.0,24.0
162.82508937682806,1.0,165.18884778422387,119.0,322.5281462998576,275.8827696307107,115.0,0.6060958547823062,149.0,34.726734459400184,26.0,2.0,25.0,25.0
150.74101697593647,1.0,357.01138826428144,179.0,370.1829511352352,451.3101497950637,172.0,0.4058623951692808,182.0,23.2542023062706,47.0,5.0,46.0,46.0
158.66563351178405,1.0,375.4527034190886,179.0,378.1075676710828,469.7514649498707,172.0,0.4058623951692808,182.0,23.2542023062706,48.0,5.0,47.0,47.0
166.59025004763163,1.0,393.89401857389566,179.0,386.0321842069303,488.19278010467775,172.0,0.4058623951692808,182.0,23.2542023062706,49.0,5.0,48.0,48.0
174.5148665834792,1.0,412.3353337287027,179.0,393.9568007427778,506.63409525948487,172.0,0.4058623951692808,182.0,23.2542023062706,50.0,5.0,49.0,49.0
182.43948311932675,1.0,430.7766488835098,179.0,401.8814172786254,525.0754104142918,172.0,0.4058623951692808,182.0,23.2542023062706,51.0,5.0,50.0,50.0
190.3640996551744,1.0,449.2179640383168,179.0,409.806033814473,543.516725569099,172.0,0.4058623951692808,182.0,23.2542023062706,52.0,5.0,51.0,51.0
198.28871619102188,1.0,467.659279193124,179.0,417.73065035032056,561.9580407239062,172.0,0.4058623951692808,182.0,23.2542023062706,53.0,5.0,52.0,52.0
206.21333272686945,1.0,486.1005943479311,179.0,425.6552668861682,580.3993558787132,172.0,0.4058623951692808,182.0,23.2542023062706,54.0,5.0,53.0,53.0
