,Unnamed: 0,num_physical_stroke,num_stroke,num_brush,start_point_x,start_point_y,end_point_x,end_point_y,theta_deg,theta_rad,r,g,b
360,360,361.0,92.0,2.0,1.2800163682820949,293.9197373740474,46.81448776458922,319.6564777183614,119.47576045989992,2.085245396349308,127.0,123.0,136.0
361,361,362.0,93.0,2.0,604.9556411939362,345.2356396011148,626.4221312593098,411.3026858384182,161.9999957084656,2.8274333133294083,229.0,226.0,228.0
362,362,363.0,93.0,2.0,590.6544822932377,349.8823689911724,612.1209723586112,415.9494152284758,161.9999957084656,2.8274333133294083,229.0,226.0,228.0
363,363,364.0,93.0,2.0,576.3533233925391,354.52909838123,597.8198134579122,420.59614461853346,161.9999957084656,2.8274333133294083,229.0,226.0,228.0
364,364,365.0,93.0,2.0,562.0521644918404,359.17582777128763,583.5186545572137,425.2428740085912,161.9999957084656,2.8274333133294083,229.0,226.0,228.0
365,365,366.0,93.0,2.0,547.7510055911416,363.82255716134523,569.217495656515,429.8896033986488,161.9999957084656,2.8274333133294083,229.0,226.0,228.0
366,366,367.0,93.0,2.0,533.449846690443,368.4692865514029,554.9163367558164,434.53633278870626,161.9999957084656,2.8274333133294083,229.0,226.0,228.0
367,367,368.0,93.0,2.0,519.1486877897444,373.1160159414605,540.6151778551176,439.18306217876386,161.9999957084656,2.8274333133294083,229.0,226.0,228.0
368,368,369.0,93.0,2.0,512.474813636085,375.28448965682065,533.9413037014583,441.3515358941242,161.9999957084656,2.8274333133294083,229.0,226.0,228.0
369,369,370.0,94.0,2.0,335.6210242195256,357.1342411130045,378.88568563738295,355.05238822783326,87.24510848522186,1.522714399326764,252.0,236.0,246.0
370,370,371.0,94.0,2.0,336.3450446610871,372.18069299579065,379.6097060789445,370.09884011061934,87.24510848522186,1.522714399326764,252.0,236.0,246.0
371,371,372.0,94.0,2.0,337.0690651026486,387.22714487857667,380.33372652050605,385.14529199340564,87.24510848522186,1.522714399326764,252.0,236.0,246.0
372,372,373.0,94.0,2.0,337.7930855442102,402.27359676136285,381.05774696206765,400.1917438761917,87.24510848522186,1.522714399326764,252.0,236.0,246.0
373,373,374.0,94.0,2.0,338.51710598577165,417.3200486441489,381.78176740362915,415.2381957589779,87.24510848522186,1.522714399326764,252.0,236.0,246.0
374,374,375.0,94.0,2.0,339.24112642733326,432.36650052693517,382.5057878451906,430.28464764176397,87.24510848522186,1.522714399326764,252.0,236.0,246.0
375,375,376.0,94.0,2.0,339.7238067217076,442.39746844879267,382.988468139565,440.3156155636215,87.24510848522186,1.522714399326764,252.0,236.0,246.0
376,376,377.0,95.0,2.0,424.24070526373833,48.99510368193955,445.24152497185236,28.38977354185334,45.54461181163788,0.7949034326557805,137.0,128.0,156.0
377,377,378.0,95.0,2.0,427.09175429664737,51.90087448551596,448.09257400476133,31.295544345429768,45.54461181163788,0.7949034326557805,137.0,128.0,156.0
378,378,379.0,96.0,2.0,264.4941845139706,4.838790628489968,365.60621512975416,31.660960941867604,104.85677719116212,1.8300960050158703,246.0,240.0,242.0
379,379,380.0,96.0,2.0,260.61428026570746,19.464937303169407,361.7263108814911,46.28710761654704,104.85677719116212,1.8300960050158703,246.0,240.0,242.0
380,380,381.0,96.0,2.0,256.73437601744433,34.09108397784884,357.846406633228,60.91325429122647,104.85677719116212,1.8300960050158703,246.0,240.0,242.0
381,381,382.0,96.0,2.0,252.85447176918115,48.71723065252828,353.9665023849648,75.5394009659059,104.85677719116212,1.8300960050158703,246.0,240.0,242.0
382,382,383.0,96.0,2.0,248.97456752091801,63.34337732720771,350.08659813670164,90.16554764058534,104.85677719116212,1.8300960050158703,246.0,240.0,242.0
383,383,384.0,96.0,2.0,247.4226058216127,69.19383599707946,348.5346364373964,96.01600631045713,104.85677719116212,1.8300960050158703,246.0,240.0,242.0
384,384,385.0,97.0,2.0,144.3875713564687,60.896899045575765,159.26417632992846,50.799569088001356,55.83373725414276,0.9744825487782092,253.0,183.0,9.0
385,385,386.0,97.0,2.0,152.91766777377282,73.46446644398156,167.79427274723258,63.367136486407176,55.83373725414276,0.9744825487782092,253.0,183.0,9.0
