end_point_x,end_point_y,num_stroke,start_point_y,r,g,num_brush,b,num_physical_stroke,theta_rad,start_point_x,theta_deg,Unnamed: 0,Unnamed: 0.1
424.82490595050143,138.44777643669752,590.0,166.93826026278143,183.0,202.0,5.0,218.0,1683.0,0.973662472013006,382.9232785892562,55.786750316619866,1682.0,1682.0
428.7705707125307,144.25075877845694,590.0,172.74124260454082,183.0,202.0,5.0,218.0,1684.0,0.973662472013006,386.8689433512852,55.786750316619866,1683.0,1683.0
432.71623547456,150.0537411202163,590.0,178.54422494630023,183.0,202.0,5.0,218.0,1685.0,0.973662472013006,390.8146081133146,55.786750316619866,1684.0,1684.0
436.6619002365892,155.85672346197575,590.0,184.3472072880596,183.0,202.0,5.0,218.0,1686.0,0.973662472013006,394.7602728753438,55.786750316619866,1685.0,1685.0
25.8005728772613,106.86370300190374,592.0,118.87698340015945,93.0,120.0,5.0,122.0,1690.0,0.9422380554027766,9.274044340436426,53.98626387119293,1689.0,1689.0
29.96378651357273,112.5909870312842,592.0,124.60426742953992,93.0,120.0,5.0,122.0,1691.0,0.9422380554027766,13.437257976747857,53.98626387119293,1690.0,1690.0
34.12700014988416,118.31827106066469,592.0,130.33155145892042,93.0,120.0,5.0,122.0,1692.0,0.9422380554027766,17.60047161305929,53.98626387119293,1691.0,1691.0
38.2902137861956,124.04555509004514,592.0,136.05883548830087,93.0,120.0,5.0,122.0,1693.0,0.9422380554027766,21.76368524937072,53.98626387119293,1692.0,1692.0
42.45342742250703,129.7728391194256,592.0,141.7861195176813,93.0,120.0,5.0,122.0,1694.0,0.9422380554027766,25.92689888568215,53.98626387119293,1693.0,1693.0
43.64291703288172,131.40920598496288,592.0,143.4224863832186,93.0,120.0,5.0,122.0,1695.0,0.9422380554027766,27.116388496056853,53.98626387119293,1694.0,1694.0
300.3649616984241,118.36925840368804,594.0,109.84198930127084,98.0,132.0,5.0,150.0,1703.0,2.064933445909328,284.53602839692024,118.31197142601012,1702.0,1702.0
299.8842328565524,119.26162202945208,594.0,110.73435292703483,98.0,132.0,5.0,150.0,1704.0,2.064933445909328,284.05529955504846,118.31197142601012,1703.0,1703.0
534.5420292119595,-4.876998961877835,595.0,17.985994680262333,225.0,196.0,5.0,176.0,1705.0,0.8624399703493749,507.8539614325607,49.41417038440704,1704.0,1704.0
539.1581330662426,0.511398308757018,595.0,23.374391950897184,225.0,196.0,5.0,176.0,1706.0,0.8624399703493749,512.4700652868437,49.41417038440704,1705.0,1705.0
540.4770198817521,2.0509403860812623,595.0,24.91393402822143,225.0,196.0,5.0,176.0,1707.0,0.8624399703493749,513.7889521023532,49.41417038440704,1706.0,1706.0
398.20876428143134,492.5986301423397,597.0,482.51904155591103,166.0,182.0,5.0,192.0,1711.0,2.450952071237372,389.8788550992092,140.4292094707489,1710.0,1710.0
395.756583268865,494.6251459031665,597.0,484.5455573167376,166.0,182.0,5.0,192.0,1712.0,2.450952071237372,387.4266740866428,140.4292094707489,1711.0,1711.0
585.8408766120876,95.13911095189248,598.0,128.43116116205462,84.0,118.0,5.0,126.0,1713.0,0.3259270298833207,574.5888175613018,18.67424324154853,1712.0,1712.0
592.5626368372604,97.410933879631,598.0,130.70298408979312,84.0,118.0,5.0,126.0,1714.0,0.3259270298833207,581.3105777864744,18.67424324154853,1713.0,1713.0
599.2843970624331,99.6827568073695,598.0,132.97480701753165,84.0,118.0,5.0,126.0,1715.0,0.3259270298833207,588.0323380116471,18.67424324154853,1714.0,1714.0
602.16515144465,100.65639520497172,598.0,133.94844541513385,84.0,118.0,5.0,126.0,1716.0,0.3259270298833207,590.913092393864,18.67424324154853,1715.0,1715.0
578.7994394437574,202.9870351515868,599.0,209.6369361678117,122.0,139.0,5.0,135.0,1717.0,1.1282360347366227,564.7675087795086,64.64316308498383,1716.0,1716.0
581.8200524507404,209.3608190882348,599.0,216.0107201044597,122.0,139.0,5.0,135.0,1718.0,1.1282360347366227,567.7881217864916,64.64316308498383,1717.0,1717.0
584.8406654577234,215.7346030248828,599.0,222.38450404110776,122.0,139.0,5.0,135.0,1719.0,1.1282360347366227,570.8087347934746,64.64316308498383,1718.0,1718.0
586.998246176997,220.28730583677427,599.0,226.9372068529992,122.0,139.0,5.0,135.0,1720.0,1.1282360347366227,572.9663155127482,64.64316308498383,1719.0,1719.0
171.55936077865118,108.54803143035328,600.0,131.70263081231914,137.0,158.0,5.0,151.0,1721.0,0.9945901120074988,135.92372134476614,56.98581576347351,1720.0,1720.0
175.5738960225224,114.7265244409748,600.0,137.88112382294062,137.0,158.0,5.0,151.0,1722.0,0.9945901120074988,139.9382565886373,56.98581576347351,1721.0,1721.0
176.72090609219987,116.49180815829524,600.0,139.64640754026107,137.0,158.0,5.0,151.0,1723.0,0.9945901120074988,141.08526665831482,56.98581576347351,1722.0,1722.0
339.3262350186708,76.43637691543906,601.0,84.07658794317295,113.0,146.0,5.0,152.0,1724.0,0.6776496825550147,333.17753472547514,38.82646679878236,1723.0,1723.0
344.8695631422512,80.89754469405317,601.0,88.53775572178705,113.0,146.0,5.0,152.0,1725.0,0.6776496825550147,338.7208628490555,38.82646679878236,1724.0,1724.0
350.41289126583155,85.35871247266726,601.0,92.99892350040116,113.0,146.0,5.0,152.0,1726.0,0.6776496825550147,344.2641909726358,38.82646679878236,1725.0,1725.0
355.16431537175765,89.18257056862221,601.0,96.82278159635608,113.0,146.0,5.0,152.0,1727.0,0.6776496825550147,349.01561507856184,38.82646679878236,1726.0,1726.0
237.06208604714604,359.0687158289188,602.0,367.7255915816642,153.0,180.0,5.0,178.0,1728.0,1.2334141802171286,212.384151076317,70.6694269180298,1727.0,1727.0
239.44689018237105,365.8670161682279,602.0,374.52389192097337,153.0,180.0,5.0,178.0,1729.0,1.2334141802171286,214.768955211542,70.6694269180298,1728.0,1728.0
241.49100801256387,371.6941307447785,602.0,380.35100649752405,153.0,180.0,5.0,178.0,1730.0,1.2334141802171286,216.8130730417349,70.6694269180298,1729.0,1729.0
620.8053929694101,470.1436721779406,603.0,463.8487808828365,214.0,204.0,5.0,201.0,1731.0,1.6697068162766582,557.3707695214421,95.66715359687804,1730.0,1730.0
