end_point_x,num_physical_stroke,num_stroke,start_point_x,start_point_y,g,b,r,num_brush,end_point_y,theta_rad,theta_deg,Unnamed: 0,Unnamed: 0.1
120.48703402208965,419.0,102.0,112.15298673899969,325.2999471559104,202.0,207.0,189.0,2.0,299.6503874432692,0.3141592700403172,18.000000268220898,418.0,418.0
134.9170325213972,420.0,102.0,126.5829852383072,329.98853795962987,202.0,207.0,189.0,2.0,304.33897824698886,0.3141592700403172,18.000000268220898,419.0,419.0
141.651031821074,421.0,102.0,133.31698453798404,332.1765470013657,202.0,207.0,189.0,2.0,306.5269872887246,0.3141592700403172,18.000000268220898,420.0,420.0
444.2809225880748,430.0,107.0,402.7416138654637,235.9921380472381,212.0,211.0,178.0,2.0,214.9082061066705,1.1011144230012018,63.08920919895172,429.0,429.0
446.1828443358388,431.0,107.0,404.6435356132277,239.73928136326265,212.0,211.0,178.0,2.0,218.65534942269505,1.1011144230012018,63.08920919895172,430.0,430.0
65.77111306938289,435.0,109.0,41.258482972724686,54.4657459360846,231.0,218.0,251.0,2.0,-20.92334974508736,0.314365951106556,18.011842221021652,434.0,434.0
69.7673634814125,436.0,109.0,45.25473338475432,55.76511963514018,231.0,218.0,251.0,2.0,-19.623976046031768,0.314365951106556,18.011842221021652,435.0,435.0
558.4335498772788,441.0,112.0,537.0916455990952,420.2442066802519,200.0,178.0,208.0,2.0,432.31251210416747,2.0854425742997043,119.48705792427064,440.0,440.0
550.8972938740924,442.0,112.0,529.5553895959088,433.5715172334932,200.0,178.0,208.0,2.0,445.6398226574089,2.0854425742997043,119.48705792427064,441.0,441.0
543.863454937785,443.0,112.0,522.5215506596014,446.0103404165184,200.0,178.0,208.0,2.0,458.0786458404342,2.0854425742997043,119.48705792427064,442.0,442.0
546.1703472918415,452.0,115.0,525.0011626165526,40.84544643501593,236.0,207.0,248.0,2.0,12.794866044195954,0.6464889657060817,37.0410892367363,451.0,451.0
558.1649567116838,453.0,115.0,536.995772036395,49.89752658376379,236.0,207.0,248.0,2.0,21.846946192943825,0.6464889657060817,37.0410892367363,452.0,452.0
560.5638785956521,454.0,115.0,539.3946939203635,51.70794261351335,236.0,207.0,248.0,2.0,23.657362222693383,0.6464889657060817,37.0410892367363,453.0,453.0
150.08641830995143,459.0,118.0,111.31509410253176,128.33558918286798,222.0,183.0,230.0,2.0,147.64748857781333,2.0329207723844083,116.47778034210204,458.0,458.0
145.52549789079026,460.0,118.0,106.75417368337057,137.49227132164415,222.0,183.0,230.0,2.0,156.80417071658948,2.0329207723844083,116.47778034210204,459.0,459.0
31.7299187942255,461.0,119.0,-9.77197235086298,375.37357061689227,202.0,191.0,198.0,2.0,354.2160805339901,1.0993428175038646,62.98770368099213,460.0,460.0
38.589861344239225,462.0,119.0,-2.9120298008492576,388.82982595987846,202.0,191.0,198.0,2.0,367.67233587697626,1.0993428175038646,62.98770368099213,461.0,461.0
45.44980389425295,463.0,119.0,3.947912749164463,402.2860813028646,202.0,191.0,198.0,2.0,381.1285912199624,1.0993428175038646,62.98770368099213,462.0,462.0
52.30974644426667,464.0,119.0,10.807855299178186,415.74233664585086,202.0,191.0,198.0,2.0,394.5848465629486,1.0993428175038646,62.98770368099213,463.0,463.0
56.88304147760915,465.0,119.0,15.381150332520669,424.71317354117485,202.0,191.0,198.0,2.0,403.5556834582727,1.0993428175038646,62.98770368099213,464.0,464.0
575.9470323637381,469.0,121.0,472.5496971460393,410.9479826082143,222.0,198.0,218.0,2.0,345.0919812075789,1.003670034908448,57.50605702400208,468.0,468.0
584.0492487284487,470.0,121.0,480.6519135107499,423.6688822020397,222.0,198.0,218.0,2.0,357.81288080140433,1.003670034908448,57.50605702400208,469.0,469.0
592.1514650931592,471.0,121.0,488.7541298754605,436.3897817958651,222.0,198.0,218.0,2.0,370.5337803952297,1.003670034908448,57.50605702400208,470.0,470.0
600.25368145787,472.0,121.0,496.8563462401712,449.11068138969046,222.0,198.0,218.0,2.0,383.25467998905526,1.003670034908448,57.50605702400208,471.0,471.0
604.0347157614018,473.0,121.0,500.6373805437029,455.0471012001424,222.0,198.0,218.0,2.0,389.1910997995071,1.003670034908448,57.50605702400208,472.0,472.0
434.0616585681827,477.0,123.0,324.3539321216317,486.6358324901498,186.0,195.0,167.0,2.0,457.1579747141693,1.3083017291155603,74.9601674079895,476.0,476.0
437.9590869383412,478.0,123.0,328.25136049179014,501.1408894290831,186.0,195.0,167.0,2.0,471.66303165310256,1.3083017291155603,74.9601674079895,477.0,477.0
440.0377154024257,479.0,123.0,330.3299889558746,508.8769197965141,186.0,195.0,167.0,2.0,479.3990620205336,1.3083017291155603,74.9601674079895,478.0,478.0
140.1297804963954,492.0,128.0,127.75498301544366,467.9780087813778,221.0,211.0,210.0,2.0,429.892298905032,0.3141592700403172,18.000000268220898,491.0,491.0
510.3375588502624,495.0,130.0,475.0287535943144,432.1409841663177,193.0,185.0,184.0,2.0,361.164417235548,0.4616226061715996,26.4490270614624,494.0,494.0
523.2787441516202,496.0,130.0,487.96993889567216,438.5788524846385,193.0,185.0,184.0,2.0,367.6022855538688,0.4616226061715996,26.4490270614624,495.0,495.0
515.6888541358293,504.0,133.0,505.6696968445797,21.054301828004704,255.0,229.0,255.0,2.0,7.1199659828704425,0.6233816479935484,35.717137455940254,503.0,503.0
524.9021347202297,505.0,133.0,514.8829774289802,27.678895089531284,255.0,229.0,255.0,2.0,13.74455924439702,0.6233816479935484,35.717137455940254,504.0,504.0
