end_point_x,r,num_stroke,start_point_x,num_brush,num_physical_stroke,g,theta_deg,b,end_point_y,start_point_y,theta_rad,Unnamed: 0,Unnamed: 0.1
71.66038050676086,135.0,273.0,58.94840296998025,3.0,853.0,116.0,40.39852559566498,128.0,220.44846090046025,235.3857627478418,0.7050872845955574,852.0,852.0
77.08571568478935,135.0,273.0,64.37373814800873,3.0,854.0,116.0,40.39852559566498,128.0,225.06554232636,240.0028441737416,0.7050872845955574,853.0,853.0
566.3668982675384,135.0,281.0,491.3993508489866,3.0,885.0,138.0,62.9471218585968,177.0,131.98843777727134,170.27350163547115,1.0986345310866066,884.0,884.0
569.1092832378678,135.0,281.0,494.1417358193158,3.0,886.0,138.0,62.9471218585968,177.0,137.35841380929622,175.643477667496,1.0986345310866066,885.0,885.0
291.1464843684708,67.0,270.0,276.9903984816094,3.0,847.0,64.0,41.77510768175125,0.0,230.21660993060624,246.0631805363904,0.7291131744217348,846.0,846.0
586.7033847465348,226.0,271.0,571.0915246605692,3.0,849.0,246.0,72.77234852313995,227.0,356.3276147189361,361.1685503264224,1.270117086137625,848.0,848.0
299.9988629374401,250.0,272.0,215.02022146628207,3.0,850.0,243.0,101.20325446128844,248.0,62.77410457657883,45.94286428164644,1.7663300040831236,849.0,849.0
297.64191012948885,250.0,272.0,212.663268658331,3.0,851.0,243.0,101.20325446128844,248.0,74.67403851618431,57.842798221251925,1.7663300040831236,850.0,850.0
296.6598464595092,250.0,272.0,211.6812049883513,3.0,852.0,243.0,101.20325446128844,248.0,79.63234432435327,62.80110402942087,1.7663300040831236,851.0,851.0
245.93658377493935,208.0,274.0,198.4028717905589,3.0,855.0,205.0,72.45518267154694,216.0,344.5880935579481,359.6163031330888,1.2645814977524352,854.0,854.0
249.6113100191624,208.0,274.0,202.07759803478183,3.0,856.0,205.0,72.45518267154694,216.0,356.2111267636656,371.2393363388061,1.2645814977524352,855.0,855.0
252.9798090763668,208.0,274.0,205.44609709198625,3.0,857.0,205.0,72.45518267154694,216.0,366.8655738689064,381.8937834440471,1.2645814977524352,856.0,856.0
418.54338717042674,186.0,275.0,382.4323294319068,3.0,858.0,179.0,73.85397613048553,184.0,294.73676605165,305.1911180183713,1.2889950491662738,857.0,857.0
421.9258530384145,186.0,275.0,385.81479529989457,3.0,859.0,179.0,73.85397613048553,184.0,306.4203616151335,316.87471358185485,1.2889950491662738,858.0,858.0
425.3083189064023,186.0,275.0,389.1972611678824,3.0,860.0,179.0,73.85397613048553,184.0,318.1039571786169,328.55830914533817,1.2889950491662738,859.0,859.0
426.4358075290649,186.0,275.0,390.32474979054496,3.0,861.0,179.0,73.85397613048553,184.0,321.99848903311147,332.45284099983274,1.2889950491662738,860.0,860.0
366.33365948038886,255.0,276.0,318.6947169622333,3.0,862.0,255.0,122.34959721565244,255.0,36.632363607137606,6.45852428664045,2.135403309902022,861.0,861.0
359.8515886306584,255.0,276.0,312.21264611250285,3.0,863.0,255.0,122.34959721565244,255.0,46.86636125420376,16.6925219337066,2.135403309902022,862.0,862.0
353.36951778092794,255.0,276.0,305.73057526277245,3.0,864.0,255.0,122.34959721565244,255.0,57.10035890126992,26.926519580772748,2.135403309902022,863.0,863.0
346.88744693119764,255.0,276.0,299.248504413042,3.0,865.0,255.0,122.34959721565244,255.0,67.33435654833606,37.16051722783891,2.135403309902022,864.0,864.0
340.4053760814671,255.0,276.0,292.76643356331164,3.0,866.0,255.0,122.34959721565244,255.0,77.56835419540222,47.39451487490506,2.135403309902022,865.0,865.0
333.92330523173666,255.0,276.0,286.2843627135811,3.0,867.0,255.0,122.34959721565244,255.0,87.80235184246838,57.62851252197121,2.135403309902022,866.0,866.0
331.76261494849325,255.0,276.0,284.12367243033765,3.0,868.0,255.0,122.34959721565244,255.0,91.21368439149042,61.03984507099326,2.135403309902022,867.0,867.0
418.2453473927373,254.0,277.0,362.2646433648121,3.0,869.0,249.0,74.7445660829544,252.0,463.4889855202526,478.7567811422432,1.3045387761220355,868.0,868.0
421.4773680497378,254.0,277.0,365.4966640218128,3.0,870.0,249.0,74.7445660829544,252.0,475.3394710972989,490.6072667192896,1.3045387761220355,869.0,869.0
424.7093887067384,254.0,277.0,368.7286846788134,3.0,871.0,249.0,74.7445660829544,252.0,487.1899566743454,502.457752296336,1.3045387761220355,870.0,870.0
425.5173938709886,254.0,277.0,369.5366898430635,3.0,872.0,249.0,74.7445660829544,252.0,490.152578068607,505.4203736905976,1.3045387761220355,871.0,871.0
278.09209219848134,255.0,278.0,255.72751164915195,3.0,873.0,255.0,135.4383909702301,252.0,452.7068428162374,429.9973775219326,2.3638458560338726,872.0,872.0
269.45748280983054,255.0,278.0,247.0929022605013,3.0,874.0,255.0,135.4383909702301,252.0,461.2103198766552,438.5008545823504,2.3638458560338726,873.0,873.0
260.82287342117985,255.0,278.0,238.4582928718505,3.0,875.0,255.0,135.4383909702301,252.0,469.7137969370729,447.0043316427682,2.3638458560338726,874.0,874.0
256.50556872685445,255.0,278.0,234.14098817752517,3.0,876.0,255.0,135.4383909702301,252.0,473.9655354672818,451.25607017297705,2.3638458560338726,875.0,875.0
534.837049782989,245.0,279.0,458.5435717852391,3.0,877.0,236.0,112.43906021118164,249.0,472.2395462932898,440.7327793054103,1.9624318085332704,876.0,876.0
530.2389277846984,245.0,279.0,453.94544978694864,3.0,878.0,236.0,112.43906021118164,249.0,483.3738756150669,451.8671086271874,1.9624318085332704,877.0,877.0
