,Unnamed: 0,num_physical_stroke,num_stroke,num_brush,start_point_x,start_point_y,end_point_x,end_point_y,theta_deg,theta_rad,r,g,b
0,0,1.0,1.0,1.0,128.01342711424564,42.522512689302566,440.38206297027136,-145.01293705586139,59.02083456516265,1.0301078904369643,254.0,249.0,219.0
1,1,2.0,1.0,1.0,138.31793564168234,59.68622907602372,450.68657149770814,-127.84922066914024,59.02083456516265,1.0301078904369643,254.0,249.0,219.0
2,2,3.0,1.0,1.0,148.62244416911906,76.84994546274487,460.9910800251448,-110.68550428241907,59.02083456516265,1.0301078904369643,254.0,249.0,219.0
3,3,4.0,1.0,1.0,158.92695269655582,94.01366184946602,471.2955885525815,-93.52178789569794,59.02083456516265,1.0301078904369643,254.0,249.0,219.0
4,4,5.0,1.0,1.0,169.23146122399245,111.17737823618715,481.60009708001814,-76.35807150897679,59.02083456516265,1.0301078904369643,254.0,249.0,219.0
5,5,6.0,1.0,1.0,179.53596975142918,128.34109462290832,491.9046056074549,-59.19435512225565,59.02083456516265,1.0301078904369643,254.0,249.0,219.0
6,6,7.0,1.0,1.0,189.84047827886596,145.50481100962946,502.20911413489165,-42.03063873553449,59.02083456516265,1.0301078904369643,254.0,249.0,219.0
7,7,8.0,1.0,1.0,200.14498680630265,162.66852739635058,512.5136226623283,-24.866922348813354,59.02083456516265,1.0301078904369643,254.0,249.0,219.0
8,8,9.0,1.0,1.0,210.44949533373932,179.83224378307176,522.818131189765,-7.703205962092197,59.02083456516265,1.0301078904369643,254.0,249.0,219.0
9,9,10.0,1.0,1.0,220.75400386117605,196.9959601697929,533.1226397172019,9.46051042462895,59.02083456516265,1.0301078904369643,254.0,249.0,219.0
10,10,11.0,1.0,1.0,231.05851238861283,214.15967655651409,543.4271482446385,26.624226811350102,59.02083456516265,1.0301078904369643,254.0,249.0,219.0
11,11,12.0,1.0,1.0,241.3630209160495,231.32339294323518,553.7316567720752,43.787943198071254,59.02083456516265,1.0301078904369643,254.0,249.0,219.0
12,12,13.0,1.0,1.0,251.66752944348625,248.4871093299564,564.0361652995118,60.951659584792424,59.02083456516265,1.0301078904369643,254.0,249.0,219.0
13,13,14.0,1.0,1.0,261.9720379709229,265.6508257166775,574.3406738269488,78.11537597151354,59.02083456516265,1.0301078904369643,254.0,249.0,219.0
14,14,15.0,1.0,1.0,272.2765464983596,282.81454210339865,584.6451823543853,95.27909235823469,59.02083456516265,1.0301078904369643,254.0,249.0,219.0
15,15,16.0,1.0,1.0,282.58105502579633,299.9782584901198,594.9496908818221,112.44280874495584,59.02083456516265,1.0301078904369643,254.0,249.0,219.0
16,16,17.0,1.0,1.0,292.88556355323306,317.14197487684095,605.2541994092587,129.606525131677,59.02083456516265,1.0301078904369643,254.0,249.0,219.0
17,17,18.0,1.0,1.0,301.12917037518235,330.87294798621787,613.4978062312083,143.33749824105388,59.02083456516265,1.0301078904369643,254.0,249.0,219.0
18,18,19.0,2.0,1.0,267.1614492557167,221.17427456031209,620.2169112790992,311.1495506817617,104.29734349250792,1.8203320450277447,234.0,237.0,203.0
19,19,20.0,2.0,1.0,262.22042138303397,240.56245488782486,615.2758834064166,330.53773100927447,104.29734349250792,1.8203320450277447,234.0,237.0,203.0
20,20,21.0,2.0,1.0,257.27939351035116,259.9506352153377,610.3348555337337,349.92591133678735,104.29734349250792,1.8203320450277447,234.0,237.0,203.0
21,21,22.0,2.0,1.0,252.33836563766843,279.3388155428505,605.3938276610511,369.3140916643002,104.29734349250792,1.8203320450277447,234.0,237.0,203.0
22,22,23.0,2.0,1.0,247.3973377649857,298.72699587036334,600.4527997883682,388.70227199181295,104.29734349250792,1.8203320450277447,234.0,237.0,203.0
23,23,24.0,2.0,1.0,242.4563098923029,318.1151761978762,595.5117719156857,408.0904523193258,104.29734349250792,1.8203320450277447,234.0,237.0,203.0
24,24,25.0,2.0,1.0,237.51528201962017,337.50335652538894,590.5707440430028,427.4786326468386,104.29734349250792,1.8203320450277447,234.0,237.0,203.0
25,25,26.0,2.0,1.0,232.57425414693745,356.89153685290177,585.6297161703201,446.8668129743514,104.29734349250792,1.8203320450277447,234.0,237.0,203.0
26,26,27.0,2.0,1.0,227.6332262742546,376.27971718041465,580.6886882976372,466.25499330186415,104.29734349250792,1.8203320450277447,234.0,237.0,203.0
27,27,28.0,2.0,1.0,222.69219840157191,395.6678975079274,575.7476604249546,485.643173629377,104.29734349250792,1.8203320450277447,234.0,237.0,203.0
28,28,29.0,2.0,1.0,217.99822192252327,414.08666881906464,571.0536839459057,504.0619449405142,104.29734349250792,1.8203320450277447,234.0,237.0,203.0
29,29,30.0,3.0,1.0,173.88864078012557,159.14062942458213,278.38522501563494,453.67584133419996,160.4660940170288,2.8006616784119265,132.0,160.0,153.0
30,30,31.0,3.0,1.0,155.03233782232903,165.83055704859845,259.52892205783843,460.3657689582164,160.4660940170288,2.8006616784119265,132.0,160.0,153.0
31,31,32.0,3.0,1.0,136.17603486453254,172.52048467261486,240.67261910004186,467.05569658223266,160.4660940170288,2.8006616784119265,132.0,160.0,153.0
32,32,33.0,3.0,1.0,117.31973190673601,179.2104122966312,221.81631614224534,473.74562420624915,160.4660940170288,2.8006616784119265,132.0,160.0,153.0
33,33,34.0,3.0,1.0,98.46342894893951,185.90033992064758,202.96001318444885,480.4355518302655,160.4660940170288,2.8006616784119265,132.0,160.0,153.0
34,34,35.0,3.0,1.0,79.607125991143,192.590267544664,184.1037102266523,487.12547945428184,160.4660940170288,2.8006616784119265,132.0,160.0,153.0
35,35,36.0,3.0,1.0,60.75082303334648,199.2801951686803,165.24740726885582,493.81540707829816,160.4660940170288,2.8006616784119265,132.0,160.0,153.0
36,36,37.0,3.0,1.0,41.89452007554996,205.97012279269669,146.39110431105928,500.50533470231454,160.4660940170288,2.8006616784119265,132.0,160.0,153.0
37,37,38.0,3.0,1.0,23.038217117753447,212.66005041671303,127.53480135326276,507.19526232633086,160.4660940170288,2.8006616784119265,132.0,160.0,153.0
38,38,39.0,3.0,1.0,4.181914159956931,219.3499780407294,108.67849839546624,513.8851899503472,160.4660940170288,2.8006616784119265,132.0,160.0,153.0
39,39,40.0,3.0,1.0,-13.73157364994978,225.70540928354492,90.76501058555954,520.2406211931628,160.4660940170288,2.8006616784119265,132.0,160.0,153.0
40,40,41.0,4.0,1.0,-54.73214329644578,152.16974270866896,75.58912514850681,-85.70123718715683,28.716807961463928,0.5012028495904665,167.0,187.0,187.0
41,41,42.0,4.0,1.0,-37.178113217451475,161.78698760006873,93.14315522750113,-76.08399229575707,28.716807961463928,0.5012028495904665,167.0,187.0,187.0
42,42,43.0,4.0,1.0,-19.62408313845718,171.40423249146852,110.6971853064954,-66.4667474043573,28.716807961463928,0.5012028495904665,167.0,187.0,187.0
43,43,44.0,4.0,1.0,-2.070053059462886,181.02147738286828,128.2512153854897,-56.849502512957535,28.716807961463928,0.5012028495904665,167.0,187.0,187.0
44,44,45.0,4.0,1.0,15.483977019531407,190.63872227426805,145.80524546448402,-47.23225762155775,28.716807961463928,0.5012028495904665,167.0,187.0,187.0
45,45,46.0,4.0,1.0,33.038007098525725,200.2559671656678,163.3592755434783,-37.61501273015798,28.716807961463928,0.5012028495904665,167.0,187.0,187.0
46,46,47.0,4.0,1.0,50.592037177520005,209.8732120570676,180.91330562247262,-27.99776783875821,28.716807961463928,0.5012028495904665,167.0,187.0,187.0
47,47,48.0,4.0,1.0,68.14606725651431,219.49045694846737,198.4673357014669,-18.380522947358447,28.716807961463928,0.5012028495904665,167.0,187.0,187.0
48,48,49.0,4.0,1.0,85.70009733550859,229.10770183986716,216.0213657804612,-8.763278055958665,28.716807961463928,0.5012028495904665,167.0,187.0,187.0
49,49,50.0,4.0,1.0,103.25412741450288,238.7249467312669,233.57539585945548,0.8539668354410992,28.716807961463928,0.5012028495904665,167.0,187.0,187.0
50,50,51.0,4.0,1.0,112.90884395794977,244.01443142153684,243.23011240290242,6.143451525710982,28.716807961463928,0.5012028495904665,167.0,187.0,187.0
51,51,52.0,5.0,1.0,425.68382285452947,277.7540500524491,561.7083130664871,91.36114540130899,36.120954751968384,0.63042958938574,126.0,131.0,121.0
52,52,53.0,5.0,1.0,441.95584676430747,289.62893209898954,577.9803369762651,103.23602744784941,36.120954751968384,0.63042958938574,126.0,131.0,121.0
53,53,54.0,5.0,1.0,458.22787067408564,301.50381414552993,594.2523608860432,115.11090949438982,36.120954751968384,0.63042958938574,126.0,131.0,121.0
54,54,55.0,5.0,1.0,474.4998945838636,313.3786961920704,610.5243847958212,126.98579154093021,36.120954751968384,0.63042958938574,126.0,131.0,121.0
55,55,56.0,5.0,1.0,490.77191849364164,325.2535782386108,626.7964087055992,138.86067358747064,36.120954751968384,0.63042958938574,126.0,131.0,121.0
56,56,57.0,5.0,1.0,507.04394240341963,337.12846028515116,643.0684326153772,150.73555563401106,36.120954751968384,0.63042958938574,126.0,131.0,121.0
57,57,58.0,5.0,1.0,517.6207579447754,344.8471336154025,653.645248156733,158.45422896426234,36.120954751968384,0.63042958938574,126.0,131.0,121.0
58,58,59.0,6.0,1.0,102.84549545767857,347.43585849973914,142.12595661749197,468.32865633323814,161.9999957084656,2.8274333133294083,188.0,196.0,194.0
59,59,60.0,6.0,1.0,83.7697363812193,353.6339499239181,123.0501975410327,474.52674775741707,161.9999957084656,2.8274333133294083,188.0,196.0,194.0
60,60,61.0,6.0,1.0,64.69397730476004,359.83204134809716,103.97443846457344,480.72483918159617,161.9999957084656,2.8274333133294083,188.0,196.0,194.0
61,61,62.0,6.0,1.0,45.61821822830079,366.03013277227615,84.8986793881142,486.92293060577515,161.9999957084656,2.8274333133294083,188.0,196.0,194.0
62,62,63.0,6.0,1.0,26.54245915184154,372.22822419645513,65.82292031165495,493.12102202995413,161.9999957084656,2.8274333133294083,188.0,196.0,194.0
63,63,64.0,6.0,1.0,7.466700075382277,378.42631562063417,46.747161235195684,499.3191134541332,161.9999957084656,2.8274333133294083,188.0,196.0,194.0
64,64,65.0,6.0,1.0,-11.609059001076972,384.62440704481315,27.671402158736452,505.51720487831216,161.9999957084656,2.8274333133294083,188.0,196.0,194.0
65,65,66.0,6.0,1.0,-23.054514446952528,388.3432618993206,16.225946712860893,509.2360597328195,161.9999957084656,2.8274333133294083,188.0,196.0,194.0
66,66,67.0,7.0,1.0,241.361780610287,249.36094968380863,289.03710041914786,201.10838274964505,44.655226171016686,0.7793807249069817,194.0,203.0,175.0
67,67,68.0,7.0,1.0,255.6971138608472,263.52478884742345,303.37243366970813,215.27222191325984,44.655226171016686,0.7793807249069817,194.0,203.0,175.0
68,68,69.0,7.0,1.0,270.0324471114073,277.6886280110383,317.70776692026817,229.4360610768747,44.655226171016686,0.7793807249069817,194.0,203.0,175.0
69,69,70.0,7.0,1.0,284.3677803619675,291.85246717465316,332.0431001708284,243.5999002404895,44.655226171016686,0.7793807249069817,194.0,203.0,175.0
70,70,71.0,7.0,1.0,298.7031136125277,306.01630633826795,346.3784334213885,257.7637394041044,44.655226171016686,0.7793807249069817,194.0,203.0,175.0
71,71,72.0,7.0,1.0,313.0384468630878,320.18014550188275,360.7137666719487,271.92757856771914,44.655226171016686,0.7793807249069817,194.0,203.0,175.0
72,72,73.0,7.0,1.0,320.20611348836786,327.2620650836902,367.8814332972288,279.00949814952656,44.655226171016686,0.7793807249069817,194.0,203.0,175.0
73,73,74.0,8.0,1.0,69.14645600504862,229.48494405921159,97.51834370234316,181.6993661427386,30.699014067649845,0.5357988725965471,192.0,212.0,182.0
74,74,75.0,8.0,1.0,86.41178494697539,239.73594436422897,114.78367264426993,191.950366447756,30.699014067649845,0.5357988725965471,192.0,212.0,182.0
75,75,76.0,8.0,1.0,103.67711388890213,249.98694466924636,132.04900158619662,202.2013667527733,30.699014067649845,0.5357988725965471,192.0,212.0,182.0
76,76,77.0,8.0,1.0,120.94244283082888,260.2379449742637,149.31433052812343,212.45236705779067,30.699014067649845,0.5357988725965471,192.0,212.0,182.0
77,77,78.0,8.0,1.0,138.20777177275562,270.48894527928104,166.57965947005016,222.703367362808,30.699014067649845,0.5357988725965471,192.0,212.0,182.0
78,78,79.0,8.0,1.0,142.52410400823732,273.0516953555354,170.89599170553188,225.2661174390624,30.699014067649845,0.5357988725965471,192.0,212.0,182.0
79,79,80.0,9.0,1.0,31.182123448707145,240.2496202126266,199.0008196194968,321.2287959256845,115.75915217399596,2.0203783447533814,151.0,203.0,222.0
80,80,81.0,9.0,1.0,22.42414305396805,258.39938325964,190.2428392247577,339.37855897269776,115.75915217399596,2.0203783447533814,151.0,203.0,222.0
81,81,82.0,9.0,1.0,17.169354817124578,269.2892410878479,184.98805098791416,350.2684168009058,115.75915217399596,2.0203783447533814,151.0,203.0,222.0
82,82,83.0,10.0,1.0,424.4862876151128,62.70908226763164,466.40977626001154,-7.4446198608425345,30.862320363521576,0.5386491051487448,78.0,103.0,101.0
83,83,84.0,10.0,1.0,441.7393267997867,73.0194090273521,483.66281544468535,2.86570689887791,30.862320363521576,0.5386491051487448,78.0,103.0,101.0
84,84,85.0,10.0,1.0,458.99236598446055,83.32973578707255,500.9158546293592,13.176033658598351,30.862320363521576,0.5386491051487448,78.0,103.0,101.0
85,85,86.0,10.0,1.0,476.24540516913436,93.64006254679295,518.168893814033,23.4863604183188,30.862320363521576,0.5386491051487448,78.0,103.0,101.0
86,86,87.0,10.0,1.0,493.4984443538082,103.95038930651343,535.4219329987069,33.79668717803925,30.862320363521576,0.5386491051487448,78.0,103.0,101.0
87,87,88.0,10.0,1.0,510.751483538482,114.26071606623384,552.6749721833806,44.10701393775969,30.862320363521576,0.5386491051487448,78.0,103.0,101.0
88,88,89.0,10.0,1.0,528.0045227231559,124.57104282595431,569.9280113680545,54.41734069748014,30.862320363521576,0.5386491051487448,78.0,103.0,101.0
89,89,90.0,10.0,1.0,545.2575619078298,134.88136958567478,587.1810505527283,64.72766745720058,30.862320363521576,0.5386491051487448,78.0,103.0,101.0
90,90,91.0,10.0,1.0,546.9828658262971,135.91240226164678,588.9063544711958,65.75870013317261,30.862320363521576,0.5386491051487448,78.0,103.0,101.0
91,91,92.0,11.0,1.0,193.43094428934884,389.4175143601512,210.85667951762775,335.7866167791743,18.000000268220898,0.3141592700403172,63.0,116.0,138.0
92,92,93.0,11.0,1.0,212.5894614225824,395.64249402651046,230.01519665086138,342.01159644553366,18.000000268220898,0.3141592700403172,63.0,116.0,138.0
93,93,94.0,11.0,1.0,231.747978555816,401.86747369286974,249.17371378409504,348.2365761118929,18.000000268220898,0.3141592700403172,63.0,116.0,138.0
94,94,95.0,11.0,1.0,250.90649568904962,408.09245335922895,268.3322309173287,354.4615557782521,18.000000268220898,0.3141592700403172,63.0,116.0,138.0
95,95,96.0,11.0,1.0,270.06501282228334,414.3174330255882,287.49074805056233,360.68653544461137,18.000000268220898,0.3141592700403172,63.0,116.0,138.0
96,96,97.0,11.0,1.0,289.22352995551694,420.5424126919475,306.64926518379593,366.9115151109705,18.000000268220898,0.3141592700403172,63.0,116.0,138.0
97,97,98.0,11.0,1.0,291.13938166884026,421.1649106585834,308.56511689711925,367.5340130776067,18.000000268220898,0.3141592700403172,63.0,116.0,138.0
98,98,99.0,12.0,1.0,190.68186983005816,422.626244988432,222.2790115016597,449.8082236528761,130.70432424545288,2.281220804677406,100.0,132.0,93.0
99,99,100.0,12.0,1.0,178.9277758053212,436.2895540030458,210.5249174769227,463.47153266749,130.70432424545288,2.281220804677406,100.0,132.0,93.0
100,100,101.0,13.0,1.0,34.88107749305213,71.88947189987182,78.63551721680139,38.96825774127207,53.041884899139404,0.9257555329538428,178.0,182.0,146.0
101,101,102.0,13.0,1.0,45.71733484306554,86.29156432477535,89.4717745668148,53.37035016617561,53.041884899139404,0.9257555329538428,178.0,182.0,146.0
102,102,103.0,14.0,1.0,89.63695619675812,140.65541798022966,121.0148261361686,178.33714795858532,140.2155876159668,2.447223666517207,13.0,50.0,40.0
103,103,104.0,14.0,1.0,74.11067150041335,153.5842761330799,105.48854143982382,191.2660061114356,140.2155876159668,2.447223666517207,13.0,50.0,40.0
104,104,105.0,14.0,1.0,58.58438680406857,166.51313428593016,89.96225674347902,204.19486426428583,140.2155876159668,2.447223666517207,13.0,50.0,40.0
105,105,106.0,14.0,1.0,43.05810210772377,179.4419924387804,74.43597204713424,217.12372241713607,140.2155876159668,2.447223666517207,13.0,50.0,40.0
106,106,107.0,14.0,1.0,33.74233128991691,187.19930733049057,65.12020122932738,224.88103730884623,140.2155876159668,2.447223666517207,13.0,50.0,40.0
107,107,108.0,15.0,1.0,348.7375929265654,343.4803684573677,389.8595943021489,455.16837025214824,159.78698015213013,2.788808905473501,122.0,149.0,138.0
108,108,109.0,15.0,1.0,329.8765224831242,350.42475775842524,370.99852385870776,462.1127595532057,159.78698015213013,2.788808905473501,122.0,149.0,138.0
109,109,110.0,15.0,1.0,311.015452039683,357.3691470594828,352.13745341526663,469.0571488542632,159.78698015213013,2.788808905473501,122.0,149.0,138.0
110,110,111.0,15.0,1.0,292.1543815962418,364.3135363605403,333.2763829718254,476.0015381553208,159.78698015213013,2.788808905473501,122.0,149.0,138.0
111,111,112.0,15.0,1.0,273.29331115280064,371.2579256615978,314.41531252838416,482.94592745637834,159.78698015213013,2.788808905473501,122.0,149.0,138.0
112,112,113.0,15.0,1.0,254.43224070935943,378.2023149626554,295.55424208494304,489.8903167574358,159.78698015213013,2.788808905473501,122.0,149.0,138.0
113,113,114.0,15.0,1.0,235.57117026591828,385.1467042637128,276.69317164150186,496.8347060584933,159.78698015213013,2.788808905473501,122.0,149.0,138.0
114,114,115.0,15.0,1.0,223.31147447768154,389.6605573094003,264.43347585326507,501.3485591041808,159.78698015213013,2.788808905473501,122.0,149.0,138.0
115,115,116.0,16.0,1.0,353.6565061727511,441.05159565015816,448.2207373872328,412.12916540958025,72.99377024173738,1.2739816241625743,190.0,180.0,157.0
116,116,117.0,16.0,1.0,359.50601980900564,460.17705486606377,454.07025102348746,431.25462462548586,72.99377024173738,1.2739816241625743,190.0,180.0,157.0
117,117,118.0,16.0,1.0,365.3555334452604,479.30251408196943,459.9197646597422,450.3800838413916,72.99377024173738,1.2739816241625743,190.0,180.0,157.0
118,118,119.0,16.0,1.0,366.23296049069864,482.1713329643553,460.79719170518035,453.2489027237774,72.99377024173738,1.2739816241625743,190.0,180.0,157.0
119,119,120.0,17.0,1.0,66.99137011059119,392.68792475904706,91.2548332048705,334.6247256194316,22.67908573150635,0.3958247173568524,38.0,103.0,148.0
120,120,121.0,17.0,1.0,85.53630230667795,400.43748531708155,109.79976540095724,342.374286177466,22.67908573150635,0.3958247173568524,38.0,103.0,148.0
121,121,122.0,17.0,1.0,104.0812345027647,408.187045875116,128.344697597044,350.1238467355004,22.67908573150635,0.3958247173568524,38.0,103.0,148.0
122,122,123.0,17.0,1.0,122.62616669885143,415.9366064331503,146.88962979313078,357.8734072935348,22.67908573150635,0.3958247173568524,38.0,103.0,148.0
123,123,124.0,17.0,1.0,131.89863279689484,419.8113867121675,156.16209589117418,361.748187572552,22.67908573150635,0.3958247173568524,38.0,103.0,148.0
124,124,125.0,18.0,1.0,481.1223052184588,233.559444980571,541.3014264257611,251.9584695843625,107.00036644935608,1.867508695381738,199.0,201.0,172.0
125,125,126.0,18.0,1.0,475.23021295365965,252.83116955312698,535.409334160962,271.2301941569185,107.00036644935608,1.867508695381738,199.0,201.0,172.0
126,126,127.0,18.0,1.0,469.33812068886056,272.102894125683,529.5172418961629,290.5019187294745,107.00036644935608,1.867508695381738,199.0,201.0,172.0
127,127,128.0,18.0,1.0,467.8650976226608,276.9208252688221,528.044218829963,295.31984987261364,107.00036644935608,1.867508695381738,199.0,201.0,172.0
128,128,129.0,19.0,1.0,47.300145670707614,310.5401759564104,120.7303646213568,477.2552932651852,156.22875094413754,2.7267060902534004,197.0,204.0,214.0
129,129,130.0,19.0,1.0,28.96857043770213,318.614378253115,102.3987893883513,485.3294955618898,156.22875094413754,2.7267060902534004,197.0,204.0,214.0
130,130,131.0,19.0,1.0,10.63699520469664,326.6885805498196,84.06721415534584,493.4036978585945,156.22875094413754,2.7267060902534004,197.0,204.0,214.0
131,131,132.0,19.0,1.0,-7.694580028308848,334.76278284652426,65.73563892234036,501.4779001552991,156.22875094413754,2.7267060902534004,197.0,204.0,214.0
132,132,133.0,19.0,1.0,-26.026155261314344,342.8369851432289,47.404063689334876,509.5521024520037,156.22875094413754,2.7267060902534004,197.0,204.0,214.0
133,133,134.0,19.0,1.0,-44.35773049431983,350.91118743993354,29.072488456329378,517.6263047487083,156.22875094413754,2.7267060902534004,197.0,204.0,214.0
134,134,135.0,19.0,1.0,-62.6893057273253,358.9853897366382,10.7409132233239,525.7005070454129,156.22875094413754,2.7267060902534004,197.0,204.0,214.0
135,135,136.0,19.0,1.0,-63.60588448897558,359.38909985147336,9.824334461673633,526.1042171602481,156.22875094413754,2.7267060902534004,197.0,204.0,214.0
136,136,137.0,20.0,1.0,583.7539130468915,333.7981071132373,622.9538552444163,375.4650452624537,136.74737334251404,2.3866919082807936,175.0,174.0,155.0
137,137,138.0,20.0,1.0,569.1273210113463,347.5586949511736,608.3272632088713,389.22563310039004,136.74737334251404,2.3866919082807936,175.0,174.0,155.0
138,138,139.0,20.0,1.0,554.5007289758012,361.3192827891099,593.7006711733261,402.9862209383263,136.74737334251404,2.3866919082807936,175.0,174.0,155.0
139,139,140.0,20.0,1.0,539.874136940256,375.0798706270462,579.0740791377808,416.7468087762625,136.74737334251404,2.3866919082807936,175.0,174.0,155.0
140,140,141.0,20.0,1.0,525.2475449047108,388.84045846498236,564.4474871022358,430.50739661419885,136.74737334251404,2.3866919082807936,175.0,174.0,155.0
141,141,142.0,20.0,1.0,510.62095286916565,402.6010463029187,549.8208950666906,444.2679844521352,136.74737334251404,2.3866919082807936,175.0,174.0,155.0
142,142,143.0,20.0,1.0,508.42696406383385,404.66513447860916,547.6269062613588,446.3320726278256,136.74737334251404,2.3866919082807936,175.0,174.0,155.0
