r,start_point_x,b,start_point_y,end_point_y,theta_deg,num_brush,g,num_stroke,end_point_x,num_physical_stroke,theta_rad,Unnamed: 0,Unnamed: 0.1
166.0,454.75893392014825,144.0,15.906021819197552,15.93710697011291,90.03352761268616,4.0,171.0,279.0,507.88075223630966,872.0,1.571381494026603,871.0,871.0
154.0,368.964073583816,181.0,471.091612076872,464.4238920864168,75.2289354801178,4.0,173.0,281.0,394.2520842282266,876.0,1.3129926168984367,875.0,875.0
146.0,410.07101308681257,159.0,58.206192665775205,67.13045130270694,117.06425070762636,4.0,164.0,283.0,427.5374084549632,879.0,2.0431566112281816,878.0,878.0
146.0,405.4591776969917,159.0,67.23239232768199,76.15665096461375,117.06425070762636,4.0,164.0,283.0,422.9255730651422,880.0,2.0431566112281816,879.0,879.0
146.0,400.84734230717066,159.0,76.25859198958881,85.18285062652055,117.06425070762636,4.0,164.0,283.0,418.3137376753213,881.0,2.0431566112281816,880.0,880.0
146.0,399.9249752292064,159.0,78.06383192197016,86.9880905589019,117.06425070762636,4.0,164.0,283.0,417.391370597357,882.0,2.0431566112281816,881.0,881.0
130.0,385.6421495202813,189.0,217.57514285358735,214.16702551681172,85.01592993736267,4.0,172.0,284.0,424.72224897921785,883.0,1.4838078940517951,882.0,882.0
130.0,386.5162093020369,189.0,227.5977858053077,224.1896684685321,85.01592993736267,4.0,172.0,284.0,425.5963087609736,884.0,1.4838078940517951,883.0,883.0
130.0,387.3902690837927,189.0,237.62042875702804,234.2123114202524,85.01592993736267,4.0,172.0,284.0,426.47036854272926,885.0,1.4838078940517951,884.0,884.0
130.0,387.47767506196817,189.0,238.6226930522,235.2145757154244,85.01592993736267,4.0,172.0,284.0,426.5577745209048,886.0,1.4838078940517951,885.0,885.0
162.0,485.9601058401077,159.0,418.9286604317224,389.39280379292336,18.000000268220898,4.0,173.0,286.0,495.5568875600294,890.0,0.3141592700403172,889.0,889.0
162.0,495.543104843494,159.0,422.04236560650014,392.5065089677013,18.000000268220898,4.0,173.0,286.0,505.1398865634157,891.0,0.3141592700403172,890.0,890.0
162.0,501.2929042455257,159.0,423.91058871136687,394.37473207256807,18.000000268220898,4.0,173.0,286.0,510.8896859654475,892.0,0.3141592700403172,891.0,891.0
144.0,133.11996015352878,161.0,474.55361278385527,496.3168750737905,161.9999957084656,4.0,174.0,289.0,140.19127452800473,899.0,2.8274333133294083,898.0,898.0
144.0,123.53696136878712,161.0,477.667318631552,499.4305809214872,161.9999957084656,4.0,174.0,289.0,130.60827574326305,900.0,2.8274333133294083,899.0,899.0
144.0,117.78716209794212,161.0,479.53554214017015,501.2988044301053,161.9999957084656,4.0,174.0,289.0,124.85847647241803,901.0,2.8274333133294083,900.0,900.0
128.0,241.5053513802013,155.0,412.52593147264986,425.18151539079,116.25967383384705,4.0,164.0,290.0,267.1574175045097,902.0,2.0291140956953297,901.0,901.0
128.0,236.90572645207823,155.0,421.8490795443959,434.504663462536,116.25967383384705,4.0,164.0,290.0,262.5577925763867,903.0,2.0291140956953297,902.0,902.0
128.0,235.06587648082905,155.0,425.5783387730944,438.2339226912345,116.25967383384705,4.0,164.0,290.0,260.71794260513747,904.0,2.0291140956953297,903.0,903.0
246.0,85.2155145703337,197.0,4.072872065970129,-7.408249093243074,67.68585562705994,4.0,225.0,293.0,113.18970799081136,909.0,1.181341037721727,908.0,908.0
246.0,89.01585705658711,197.0,13.332552745256514,1.851431586043312,67.68585562705994,4.0,225.0,293.0,116.9900504770648,910.0,1.181341037721727,909.0,909.0
246.0,92.81619954284054,197.0,22.592233424542904,11.111112265329696,67.68585562705994,4.0,225.0,293.0,120.79039296331824,911.0,1.181341037721727,910.0,910.0
246.0,96.616542029094,197.0,31.851914103829287,20.37079294461608,67.68585562705994,4.0,225.0,293.0,124.59073544957168,912.0,1.181341037721727,911.0,911.0
246.0,97.75664477497,197.0,34.6298183076152,23.148697148402,67.68585562705994,4.0,225.0,293.0,125.73083819544767,913.0,1.181341037721727,912.0,912.0
