num_stroke,num_physical_stroke,end_point_x,g,theta_deg,end_point_y,theta_rad,num_brush,start_point_y,b,r,start_point_x,Unnamed: 0,Unnamed: 0.1
255.0,793.0,276.1002321838555,176.0,66.34237468242645,242.00815022785525,1.1578928718000692,3.0,253.8140568486669,165.0,165.0,249.15149144415983,792.0,792.0
255.0,794.0,280.9973555715988,176.0,66.34237468242645,253.1865639478108,1.1578928718000692,3.0,264.9924705686224,165.0,165.0,254.0486148319032,793.0,793.0
255.0,795.0,285.8944789593421,176.0,66.34237468242645,264.3649776677664,1.1578928718000692,3.0,276.170884288578,165.0,165.0,258.94573821964644,794.0,794.0
255.0,796.0,289.9754151157948,176.0,66.34237468242645,273.68032243439603,1.1578928718000692,3.0,285.4862290552076,165.0,165.0,263.0266743760992,795.0,795.0
257.0,800.0,55.09672413677448,163.0,18.390560746192925,407.5552379043645,0.3209758363090919,3.0,423.8411545052437,153.0,146.0,49.68210053572873,799.0,799.0
257.0,801.0,66.62432798104237,163.0,18.390560746192925,411.387852142074,0.3209758363090919,3.0,427.6737687429531,153.0,146.0,61.209704379996616,800.0,800.0
257.0,802.0,78.15193182531027,163.0,18.390560746192925,415.2204663797835,0.3209758363090919,3.0,431.5063829806625,153.0,146.0,72.73730822426452,801.0,801.0
257.0,803.0,89.67953566957817,163.0,18.390560746192925,419.053080617493,0.3209758363090919,3.0,435.338997218372,153.0,146.0,84.26491206853242,802.0,802.0
257.0,804.0,101.20713951384607,163.0,18.390560746192925,422.8856948552025,0.3209758363090919,3.0,439.1716114560816,153.0,146.0,95.79251591280033,803.0,803.0
257.0,805.0,102.16777316753506,163.0,18.390560746192925,423.2050793750116,0.3209758363090919,3.0,439.49099597589066,153.0,146.0,96.75314956648933,804.0,804.0
260.0,812.0,33.7087137534888,191.0,99.95195031166077,354.0981244819518,1.7444906267282527,3.0,348.0247827946779,176.0,185.0,-0.904635706335972,811.0,811.0
260.0,813.0,32.28575367267624,191.0,99.95195031166077,362.20789618271937,1.7444906267282527,3.0,356.13455449544534,176.0,185.0,-2.327595787148533,812.0,812.0
262.0,817.0,191.71436642166933,117.0,30.00004917383194,121.09318236227872,0.523599633843572,3.0,153.65044613051705,127.0,82.0,172.91738416482383,816.0,816.0
262.0,818.0,199.8172733628089,117.0,30.00004917383194,125.77140713834422,0.523599633843572,3.0,158.32867090658252,127.0,82.0,181.02029110596345,817.0,817.0
263.0,819.0,498.2502956404047,161.0,161.9999957084656,22.93684377089657,2.8274333133294083,3.0,-8.930790296508594,166.0,137.0,487.89587102063626,818.0,818.0
263.0,820.0,486.6492897041671,161.0,161.9999957084656,26.70624005636225,2.8274333133294083,3.0,-5.161394011042919,166.0,137.0,476.2948650843988,819.0,819.0
263.0,821.0,475.0482837679296,161.0,161.9999957084656,30.47563634182792,2.8274333133294083,3.0,-1.3919977255772444,166.0,137.0,464.69385914816127,820.0,820.0
263.0,822.0,463.447277831692,161.0,161.9999957084656,34.245032627293604,2.8274333133294083,3.0,2.37739855988843,166.0,137.0,453.0928532119237,821.0,821.0
263.0,823.0,457.6467748635733,161.0,161.9999957084656,36.129730770026434,2.8274333133294083,3.0,4.262096702621268,166.0,137.0,447.29235024380495,822.0,822.0
266.0,831.0,285.21968427092906,184.0,161.9999957084656,20.72768481064348,2.8274333133294083,3.0,2.85071935819668,191.0,171.0,279.41110460618097,830.0,830.0
266.0,832.0,273.65163573791943,184.0,161.9999957084656,24.48637258393453,2.8274333133294083,3.0,6.609407131487735,191.0,171.0,267.8430560731714,831.0,831.0
266.0,833.0,265.93960338257966,184.0,161.9999957084656,26.992164432795235,2.8274333133294083,3.0,9.115198980348438,191.0,171.0,260.1310237178317,832.0,832.0
267.0,834.0,424.21051971367086,160.0,126.40698552131654,32.630504129575435,2.2062180948677743,3.0,5.9523662162595095,152.0,152.0,388.0344087247709,833.0,833.0
267.0,835.0,416.92471638662767,160.0,126.40698552131654,42.51020527883954,2.2062180948677743,3.0,15.832067365523626,152.0,152.0,380.7486053977275,834.0,834.0
267.0,836.0,416.317566109374,160.0,126.40698552131654,43.333513707944896,2.2062180948677743,3.0,16.65537579462897,152.0,152.0,380.141455120474,835.0,835.0
269.0,840.0,595.577593680173,165.0,49.56038296222687,140.50462893690576,0.8649918612401594,3.0,165.41989100821257,153.0,157.0,566.3432387940795,839.0,839.0
269.0,841.0,603.4206316223983,165.0,49.56038296222687,149.70726762205808,0.8649918612401594,3.0,174.6225296933649,153.0,157.0,574.186276736305,840.0,840.0
269.0,842.0,604.7278046127694,165.0,49.56038296222687,151.24104073625014,0.8649918612401594,3.0,176.15630280755695,153.0,157.0,575.493449726676,841.0,841.0
275.0,862.0,405.7823054098642,156.0,131.55770659446716,305.6631324899805,2.2961151364461085,3.0,287.77223775483486,155.0,111.0,385.6013207177076,861.0,861.0
275.0,863.0,397.69045576067793,156.0,131.55770659446716,314.79076396503825,2.2961151364461085,3.0,296.8998692298926,155.0,111.0,377.50947106852135,862.0,862.0
275.0,864.0,395.66749334838136,156.0,131.55770659446716,317.0726718338027,2.2961151364461085,3.0,299.1817770986571,155.0,111.0,375.4865086562248,863.0,863.0
276.0,865.0,101.5171721877974,167.0,108.96100759506228,281.1035190556421,1.9017283388243849,3.0,266.76395274814183,186.0,132.0,59.77979721103616,864.0,864.0
276.0,866.0,97.53735751817769,167.0,108.96100759506228,292.6873433946705,1.9017283388243849,3.0,278.34777708717013,186.0,132.0,55.79998254141643,865.0,865.0
