b,num_physical_stroke,end_point_x,num_stroke,num_brush,end_point_y,theta_deg,start_point_x,theta_rad,g,r,start_point_y,Unnamed: 0,Unnamed: 0.1
219.0,15.0,584.6451823543853,1.0,1.0,95.27909235823468,59.02083456516265,272.2765464983596,1.0301078904369645,249.0,254.0,282.81454210339865,14.0,14.0
219.0,16.0,594.9496908818221,1.0,1.0,112.44280874495584,59.02083456516265,282.5810550257964,1.0301078904369645,249.0,254.0,299.9782584901198,15.0,15.0
219.0,17.0,605.2541994092587,1.0,1.0,129.606525131677,59.02083456516265,292.88556355323306,1.0301078904369645,249.0,254.0,317.14197487684095,16.0,16.0
219.0,18.0,613.4978062312083,1.0,1.0,143.33749824105388,59.02083456516265,301.12917037518235,1.0301078904369645,249.0,254.0,330.87294798621787,17.0,17.0
203.0,19.0,620.2169112790992,2.0,1.0,311.1495506817617,104.29734349250792,267.1614492557167,1.8203320450277447,237.0,234.0,221.17427456031209,18.0,18.0
203.0,20.0,615.2758834064166,2.0,1.0,330.53773100927447,104.29734349250792,262.220421383034,1.8203320450277447,237.0,234.0,240.56245488782488,19.0,19.0
203.0,21.0,610.3348555337337,2.0,1.0,349.9259113367873,104.29734349250792,257.2793935103512,1.8203320450277447,237.0,234.0,259.9506352153377,20.0,20.0
203.0,22.0,605.3938276610511,2.0,1.0,369.3140916643002,104.29734349250792,252.33836563766843,1.8203320450277447,237.0,234.0,279.3388155428505,21.0,21.0
203.0,23.0,600.4527997883682,2.0,1.0,388.70227199181295,104.29734349250792,247.3973377649857,1.8203320450277447,237.0,234.0,298.72699587036334,22.0,22.0
203.0,24.0,595.5117719156857,2.0,1.0,408.0904523193258,104.29734349250792,242.4563098923029,1.8203320450277447,237.0,234.0,318.1151761978762,23.0,23.0
203.0,25.0,590.5707440430028,2.0,1.0,427.4786326468386,104.29734349250792,237.51528201962017,1.8203320450277447,237.0,234.0,337.50335652538894,24.0,24.0
203.0,26.0,585.6297161703201,2.0,1.0,446.8668129743514,104.29734349250792,232.57425414693745,1.8203320450277447,237.0,234.0,356.89153685290177,25.0,25.0
203.0,27.0,580.6886882976372,2.0,1.0,466.25499330186415,104.29734349250792,227.6332262742546,1.8203320450277447,237.0,234.0,376.27971718041465,26.0,26.0
203.0,28.0,575.7476604249546,2.0,1.0,485.643173629377,104.29734349250792,222.69219840157191,1.8203320450277447,237.0,234.0,395.6678975079274,27.0,27.0
203.0,29.0,571.0536839459057,2.0,1.0,504.0619449405142,104.29734349250792,217.99822192252327,1.8203320450277447,237.0,234.0,414.08666881906464,28.0,28.0
194.0,59.0,142.12595661749197,6.0,1.0,468.3286563332381,161.9999957084656,102.84549545767857,2.8274333133294083,196.0,188.0,347.43585849973914,58.0,58.0
194.0,60.0,123.0501975410327,6.0,1.0,474.526747757417,161.9999957084656,83.7697363812193,2.8274333133294083,196.0,188.0,353.6339499239181,59.0,59.0
194.0,61.0,103.97443846457344,6.0,1.0,480.72483918159617,161.9999957084656,64.69397730476004,2.8274333133294083,196.0,188.0,359.8320413480972,60.0,60.0
194.0,62.0,84.8986793881142,6.0,1.0,486.9229306057752,161.9999957084656,45.61821822830079,2.8274333133294083,196.0,188.0,366.03013277227615,61.0,61.0
194.0,63.0,65.82292031165495,6.0,1.0,493.1210220299541,161.9999957084656,26.54245915184154,2.8274333133294083,196.0,188.0,372.22822419645513,62.0,62.0
194.0,64.0,46.74716123519568,6.0,1.0,499.3191134541332,161.9999957084656,7.466700075382277,2.8274333133294083,196.0,188.0,378.42631562063417,63.0,63.0
194.0,65.0,27.67140215873645,6.0,1.0,505.51720487831216,161.9999957084656,-11.609059001076972,2.8274333133294083,196.0,188.0,384.6244070448132,64.0,64.0
